partsid,datalink,parents_partsid,totalcfp
P02507,postgresC,P00836,0.0
P02508,postgresC,P00836,0.0
P02509,postgresB,P00836,0.0
P02510,postgresC,P00837,0.0
P02511,postgresB,P00837,0.0
P02512,postgresB,P00837,0.0
P02513,postgresC,P00838,0.0
P02514,postgresA,P00838,0.0
P02515,postgresA,P00838,0.0
P02516,postgresC,P00839,0.0
P02517,postgresC,P00839,0.0
P02518,postgresC,P00839,0.0
P02519,postgresC,P00840,0.0
P02520,postgresC,P00840,0.0
P02521,postgresA,P00840,0.0
P02522,postgresB,P00841,0.0
P02523,postgresC,P00841,0.0
P02524,postgresC,P00841,0.0
P02525,postgresB,P00842,0.0
P02526,postgresB,P00842,0.0
P02527,postgresC,P00842,0.0
P02528,postgresC,P00843,0.0
P02529,postgresC,P00843,0.0
P02530,postgresC,P00843,0.0
P02531,postgresC,P00844,0.0
P02532,postgresC,P00844,0.0
P02533,postgresC,P00844,0.0
P02534,postgresB,P00845,0.0
P02535,postgresA,P00845,0.0
P02536,postgresA,P00845,0.0
P02537,postgresB,P00846,0.0
P02538,postgresC,P00846,0.0
P02539,postgresA,P00846,0.0
P02540,postgresA,P00847,0.0
P02541,postgresA,P00847,0.0
P02542,postgresB,P00847,0.0
P02543,postgresA,P00848,0.0
P02544,postgresC,P00848,0.0
P02545,postgresB,P00848,0.0
P02546,postgresB,P00849,0.0
P02547,postgresB,P00849,0.0
P02548,postgresA,P00849,0.0
P02549,postgresC,P00850,0.0
P02550,postgresB,P00850,0.0
P02551,postgresA,P00850,0.0
P02552,postgresA,P00851,0.0
P02553,postgresB,P00851,0.0
P02554,postgresC,P00851,0.0
P02555,postgresA,P00852,0.0
P02556,postgresC,P00852,0.0
P02557,postgresB,P00852,0.0
P02558,postgresA,P00853,0.0
P02559,postgresA,P00853,0.0
P02560,postgresA,P00853,0.0
P02561,postgresB,P00854,0.0
P02562,postgresA,P00854,0.0
P02563,postgresC,P00854,0.0
P02564,postgresC,P00855,0.0
P02565,postgresB,P00855,0.0
P02566,postgresC,P00855,0.0
P02567,postgresC,P00856,0.0
P02568,postgresB,P00856,0.0
P02569,postgresB,P00856,0.0
P02570,postgresC,P00857,0.0
P02571,postgresB,P00857,0.0
P02572,postgresC,P00857,0.0
P02573,postgresC,P00858,0.0
P02574,postgresA,P00858,0.0
P02575,postgresA,P00858,0.0
P02576,postgresB,P00859,0.0
P02577,postgresB,P00859,0.0
P02578,postgresA,P00859,0.0
P02579,postgresA,P00860,0.0
P02580,postgresA,P00860,0.0
P02581,postgresB,P00860,0.0
P02582,postgresB,P00861,0.0
P02583,postgresA,P00861,0.0
P02584,postgresC,P00861,0.0
P02585,postgresC,P00862,0.0
P02586,postgresC,P00862,0.0
P02587,postgresC,P00862,0.0
P02588,postgresC,P00863,0.0
P02589,postgresA,P00863,0.0
P02590,postgresA,P00863,0.0
P02591,postgresA,P00864,0.0
P02592,postgresC,P00864,0.0
P02593,postgresB,P00864,0.0
P02594,postgresB,P00865,0.0
P02595,postgresC,P00865,0.0
P02596,postgresC,P00865,0.0
P02597,postgresB,P00866,0.0
P02598,postgresB,P00866,0.0
P02599,postgresB,P00866,0.0
P02600,postgresC,P00867,0.0
P02601,postgresC,P00867,0.0
P02602,postgresB,P00867,0.0
P02603,postgresA,P00868,0.0
P02604,postgresB,P00868,0.0
P02605,postgresC,P00868,0.0
P02606,postgresA,P00869,0.0
P02607,postgresC,P00869,0.0
P02608,postgresC,P00869,0.0
P02609,postgresB,P00870,0.0
P02610,postgresC,P00870,0.0
P02611,postgresB,P00870,0.0
P02612,postgresA,P00871,0.0
P02613,postgresC,P00871,0.0
P02614,postgresB,P00871,0.0
P02615,postgresA,P00872,0.0
P02616,postgresC,P00872,0.0
P02617,postgresC,P00872,0.0
P02618,postgresA,P00873,0.0
P02619,postgresC,P00873,0.0
P02620,postgresB,P00873,0.0
P02621,postgresC,P00874,0.0
P02622,postgresA,P00874,0.0
P02623,postgresB,P00874,0.0
P02624,postgresA,P00875,0.0
P02625,postgresA,P00875,0.0
P02626,postgresA,P00875,0.0
P02627,postgresB,P00876,0.0
P02628,postgresA,P00876,0.0
P02629,postgresB,P00876,0.0
P02630,postgresC,P00877,0.0
P02631,postgresB,P00877,0.0
P02632,postgresC,P00877,0.0
P02633,postgresA,P00878,0.0
P02634,postgresC,P00878,0.0
P02635,postgresC,P00878,0.0
P02636,postgresB,P00879,0.0
P02637,postgresC,P00879,0.0
P02638,postgresB,P00879,0.0
P02639,postgresA,P00880,0.0
P02640,postgresA,P00880,0.0
P02641,postgresA,P00880,0.0
P02642,postgresC,P00881,0.0
P02643,postgresC,P00881,0.0
P02644,postgresA,P00881,0.0
P02645,postgresC,P00882,0.0
P02646,postgresC,P00882,0.0
P02647,postgresB,P00882,0.0
P02648,postgresA,P00883,0.0
P02649,postgresB,P00883,0.0
P02650,postgresB,P00883,0.0
P02651,postgresB,P00884,0.0
P02652,postgresB,P00884,0.0
P02653,postgresA,P00884,0.0
P02654,postgresC,P00885,0.0
P02655,postgresC,P00885,0.0
P02656,postgresA,P00885,0.0
P02657,postgresA,P00886,0.0
P02658,postgresA,P00886,0.0
P02659,postgresB,P00886,0.0
P02660,postgresA,P00887,0.0
P02661,postgresC,P00887,0.0
P02662,postgresB,P00887,0.0
P02663,postgresC,P00888,0.0
P02664,postgresB,P00888,0.0
P02665,postgresB,P00888,0.0
P02666,postgresC,P00889,0.0
P02667,postgresB,P00889,0.0
P02668,postgresB,P00889,0.0
P02669,postgresA,P00890,0.0
P02670,postgresA,P00890,0.0
P02671,postgresB,P00890,0.0
P02672,postgresB,P00891,0.0
P02673,postgresB,P00891,0.0
P02674,postgresC,P00891,0.0
P02675,postgresA,P00892,0.0
P02676,postgresC,P00892,0.0
P02677,postgresB,P00892,0.0
P02678,postgresB,P00893,0.0
P02679,postgresC,P00893,0.0
P02680,postgresC,P00893,0.0
P02681,postgresA,P00894,0.0
P02682,postgresC,P00894,0.0
P02683,postgresA,P00894,0.0
P02684,postgresC,P00895,0.0
P02685,postgresA,P00895,0.0
P02686,postgresB,P00895,0.0
P02687,postgresC,P00896,0.0
P02688,postgresA,P00896,0.0
P02689,postgresB,P00896,0.0
P02690,postgresA,P00897,0.0
P02691,postgresC,P00897,0.0
P02692,postgresB,P00897,0.0
P02693,postgresB,P00898,0.0
P02694,postgresA,P00898,0.0
P02695,postgresB,P00898,0.0
P02696,postgresC,P00899,0.0
P02697,postgresC,P00899,0.0
P02698,postgresB,P00899,0.0
P02699,postgresC,P00900,0.0
P02700,postgresB,P00900,0.0
P02701,postgresC,P00900,0.0
P02702,postgresA,P00901,0.0
P02703,postgresC,P00901,0.0
P02704,postgresC,P00901,0.0
P02705,postgresC,P00902,0.0
P02706,postgresA,P00902,0.0
P02707,postgresA,P00902,0.0
P02708,postgresA,P00903,0.0
P02709,postgresC,P00903,0.0
P02710,postgresB,P00903,0.0
P02711,postgresC,P00904,0.0
P02712,postgresC,P00904,0.0
P02713,postgresA,P00904,0.0
P02714,postgresA,P00905,0.0
P02715,postgresC,P00905,0.0
P02716,postgresB,P00905,0.0
P02717,postgresC,P00906,0.0
P02718,postgresC,P00906,0.0
P02719,postgresA,P00906,0.0
P02720,postgresC,P00907,0.0
P02721,postgresB,P00907,0.0
P02722,postgresB,P00907,0.0
P02723,postgresA,P00908,0.0
P02724,postgresA,P00908,0.0
P02725,postgresB,P00908,0.0
P02726,postgresB,P00909,0.0
P02727,postgresB,P00909,0.0
P02728,postgresA,P00909,0.0
P02729,postgresC,P00910,0.0
P02730,postgresB,P00910,0.0
P02731,postgresC,P00910,0.0
P02732,postgresA,P00911,0.0
P02733,postgresB,P00911,0.0
P02734,postgresA,P00911,0.0
P02735,postgresB,P00912,0.0
P02736,postgresA,P00912,0.0
P02737,postgresB,P00912,0.0
P02738,postgresC,P00913,0.0
P02739,postgresB,P00913,0.0
P02740,postgresC,P00913,0.0
P02741,postgresA,P00914,0.0
P02742,postgresB,P00914,0.0
P02743,postgresC,P00914,0.0
P02744,postgresC,P00915,0.0
P02745,postgresC,P00915,0.0
P02746,postgresA,P00915,0.0
P02747,postgresC,P00916,0.0
P02748,postgresA,P00916,0.0
P02749,postgresB,P00916,0.0
P02750,postgresB,P00917,0.0
P02751,postgresC,P00917,0.0
P02752,postgresB,P00917,0.0
P02753,postgresB,P00918,0.0
P02754,postgresC,P00918,0.0
P02755,postgresB,P00918,0.0
P02756,postgresA,P00919,0.0
P02757,postgresA,P00919,0.0
P02758,postgresC,P00919,0.0
P02759,postgresA,P00920,0.0
P02760,postgresA,P00920,0.0
P02761,postgresA,P00920,0.0
P02762,postgresA,P00921,0.0
P02763,postgresA,P00921,0.0
P02764,postgresC,P00921,0.0
P02765,postgresB,P00922,0.0
P02766,postgresB,P00922,0.0
P02767,postgresA,P00922,0.0
P02768,postgresA,P00923,0.0
P02769,postgresC,P00923,0.0
P02770,postgresA,P00923,0.0
P02771,postgresA,P00924,0.0
P02772,postgresB,P00924,0.0
P02773,postgresC,P00924,0.0
P02774,postgresC,P00925,0.0
P02775,postgresA,P00925,0.0
P02776,postgresB,P00925,0.0
P02777,postgresA,P00926,0.0
P02778,postgresC,P00926,0.0
P02779,postgresB,P00926,0.0
P02780,postgresC,P00927,0.0
P02781,postgresC,P00927,0.0
P02782,postgresB,P00927,0.0
P02783,postgresA,P00928,0.0
P02784,postgresA,P00928,0.0
P02785,postgresC,P00928,0.0
P02786,postgresA,P00929,0.0
P02787,postgresC,P00929,0.0
P02788,postgresC,P00929,0.0
P02789,postgresB,P00930,0.0
P02790,postgresA,P00930,0.0
P02791,postgresC,P00930,0.0
P02792,postgresB,P00931,0.0
P02793,postgresA,P00931,0.0
P02794,postgresB,P00931,0.0
P02795,postgresB,P00932,0.0
P02796,postgresC,P00932,0.0
P02797,postgresB,P00932,0.0
P02798,postgresB,P00933,0.0
P02799,postgresC,P00933,0.0
P02800,postgresB,P00933,0.0
P02801,postgresB,P00934,0.0
P02802,postgresC,P00934,0.0
P02803,postgresC,P00934,0.0
P02804,postgresA,P00935,0.0
P02805,postgresB,P00935,0.0
P02806,postgresC,P00935,0.0
P02807,postgresB,P00936,0.0
P02808,postgresC,P00936,0.0
P02809,postgresB,P00936,0.0
P02810,postgresA,P00937,0.0
P02811,postgresB,P00937,0.0
P02812,postgresC,P00937,0.0
P02813,postgresC,P00938,0.0
P02814,postgresA,P00938,0.0
P02815,postgresA,P00938,0.0
P02816,postgresC,P00939,0.0
P02817,postgresB,P00939,0.0
P02818,postgresB,P00939,0.0
P02819,postgresC,P00940,0.0
P02820,postgresB,P00940,0.0
P02821,postgresC,P00940,0.0
P02822,postgresC,P00941,0.0
P02823,postgresC,P00941,0.0
P02824,postgresA,P00941,0.0
P02825,postgresA,P00942,0.0
P02826,postgresB,P00942,0.0
P02827,postgresC,P00942,0.0
P02828,postgresB,P00943,0.0
P02829,postgresA,P00943,0.0
P02830,postgresA,P00943,0.0
P02831,postgresA,P00944,0.0
P02832,postgresB,P00944,0.0
P02833,postgresA,P00944,0.0
P02834,postgresC,P00945,0.0
P02835,postgresB,P00945,0.0
P02836,postgresC,P00945,0.0
P02837,postgresC,P00946,0.0
P02838,postgresA,P00946,0.0
P02839,postgresB,P00946,0.0
P02840,postgresB,P00947,0.0
P02841,postgresB,P00947,0.0
P02842,postgresB,P00947,0.0
P02843,postgresC,P00948,0.0
P02844,postgresA,P00948,0.0
P02845,postgresA,P00948,0.0
P02846,postgresA,P00949,0.0
P02847,postgresB,P00949,0.0
P02848,postgresA,P00949,0.0
P02849,postgresC,P00950,0.0
P02850,postgresA,P00950,0.0
P02851,postgresB,P00950,0.0
P02852,postgresA,P00951,0.0
P02853,postgresA,P00951,0.0
P02854,postgresB,P00951,0.0
P02855,postgresC,P00952,0.0
P02856,postgresA,P00952,0.0
P02857,postgresC,P00952,0.0
P02858,postgresC,P00953,0.0
P02859,postgresC,P00953,0.0
P02860,postgresC,P00953,0.0
P02861,postgresB,P00954,0.0
P02862,postgresC,P00954,0.0
P02863,postgresA,P00954,0.0
P02864,postgresB,P00955,0.0
P02865,postgresB,P00955,0.0
P02866,postgresC,P00955,0.0
P02867,postgresA,P00956,0.0
P02868,postgresA,P00956,0.0
P02869,postgresB,P00956,0.0
P02870,postgresC,P00957,0.0
P02871,postgresA,P00957,0.0
P02872,postgresC,P00957,0.0
P02873,postgresB,P00958,0.0
P02874,postgresB,P00958,0.0
P02875,postgresC,P00958,0.0
P02876,postgresB,P00959,0.0
P02877,postgresB,P00959,0.0
P02878,postgresA,P00959,0.0
P02879,postgresC,P00960,0.0
P02880,postgresC,P00960,0.0
P02881,postgresC,P00960,0.0
P02882,postgresA,P00961,0.0
P02883,postgresB,P00961,0.0
P02884,postgresC,P00961,0.0
P02885,postgresA,P00962,0.0
P02886,postgresB,P00962,0.0
P02887,postgresC,P00962,0.0
P02888,postgresB,P00963,0.0
P02889,postgresA,P00963,0.0
P02890,postgresA,P00963,0.0
P02891,postgresA,P00964,0.0
P02892,postgresC,P00964,0.0
P02893,postgresC,P00964,0.0
P02894,postgresC,P00965,0.0
P02895,postgresA,P00965,0.0
P02896,postgresA,P00965,0.0
P02897,postgresB,P00966,0.0
P02898,postgresC,P00966,0.0
P02899,postgresB,P00966,0.0
P02900,postgresB,P00967,0.0
P02901,postgresB,P00967,0.0
P02902,postgresA,P00967,0.0
P02903,postgresB,P00968,0.0
P02904,postgresC,P00968,0.0
P02905,postgresC,P00968,0.0
P02906,postgresA,P00969,0.0
P02907,postgresB,P00969,0.0
P02908,postgresC,P00969,0.0
P02909,postgresA,P00970,0.0
P02910,postgresB,P00970,0.0
P02911,postgresB,P00970,0.0
P02912,postgresB,P00971,0.0
P02913,postgresB,P00971,0.0
P02914,postgresA,P00971,0.0
P02915,postgresB,P00972,0.0
P02916,postgresC,P00972,0.0
P02917,postgresB,P00972,0.0
P02918,postgresC,P00973,0.0
P02919,postgresB,P00973,0.0
P02920,postgresB,P00973,0.0
P02921,postgresB,P00974,0.0
P02922,postgresB,P00974,0.0
P02923,postgresA,P00974,0.0
P02924,postgresC,P00975,0.0
P02925,postgresA,P00975,0.0
P02926,postgresB,P00975,0.0
P02927,postgresC,P00976,0.0
P02928,postgresC,P00976,0.0
P02929,postgresC,P00976,0.0
P02930,postgresA,P00977,0.0
P02931,postgresA,P00977,0.0
P02932,postgresB,P00977,0.0
P02933,postgresC,P00978,0.0
P02934,postgresB,P00978,0.0
P02935,postgresB,P00978,0.0
P02936,postgresB,P00979,0.0
P02937,postgresA,P00979,0.0
P02938,postgresC,P00979,0.0
P02939,postgresB,P00980,0.0
P02940,postgresB,P00980,0.0
P02941,postgresB,P00980,0.0
P02942,postgresB,P00981,0.0
P02943,postgresC,P00981,0.0
P02944,postgresA,P00981,0.0
P02945,postgresC,P00982,0.0
P02946,postgresC,P00982,0.0
P02947,postgresB,P00982,0.0
P02948,postgresB,P00983,0.0
P02949,postgresC,P00983,0.0
P02950,postgresA,P00983,0.0
P02951,postgresC,P00984,0.0
P02952,postgresB,P00984,0.0
P02953,postgresB,P00984,0.0
P02954,postgresB,P00985,0.0
P02955,postgresB,P00985,0.0
P02956,postgresB,P00985,0.0
P02957,postgresA,P00986,0.0
P02958,postgresA,P00986,0.0
P02959,postgresA,P00986,0.0
P02960,postgresB,P00987,0.0
P02961,postgresA,P00987,0.0
P02962,postgresA,P00987,0.0
P02963,postgresB,P00988,0.0
P02964,postgresC,P00988,0.0
P02965,postgresB,P00988,0.0
P02966,postgresB,P00989,0.0
P02967,postgresA,P00989,0.0
P02968,postgresB,P00989,0.0
P02969,postgresC,P00990,0.0
P02970,postgresC,P00990,0.0
P02971,postgresB,P00990,0.0
P02972,postgresC,P00991,0.0
P02973,postgresB,P00991,0.0
P02974,postgresC,P00991,0.0
P02975,postgresC,P00992,0.0
P02976,postgresA,P00992,0.0
P02977,postgresC,P00992,0.0
P02978,postgresB,P00993,0.0
P02979,postgresC,P00993,0.0
P02980,postgresB,P00993,0.0
P02981,postgresC,P00994,0.0
P02982,postgresC,P00994,0.0
P02983,postgresB,P00994,0.0
P02984,postgresC,P00995,0.0
P02985,postgresA,P00995,0.0
P02986,postgresA,P00995,0.0
P02987,postgresB,P00996,0.0
P02988,postgresA,P00996,0.0
P02989,postgresC,P00996,0.0
P02990,postgresC,P00997,0.0
P02991,postgresB,P00997,0.0
P02992,postgresB,P00997,0.0
P02993,postgresA,P00998,0.0
P02994,postgresB,P00998,0.0
P02995,postgresA,P00998,0.0
P02996,postgresA,P00999,0.0
P02997,postgresC,P00999,0.0
P02998,postgresB,P00999,0.0
P02999,postgresA,P01000,0.0
P03000,postgresA,P01000,0.0
P03001,postgresA,P01000,0.0
P03002,postgresA,P01001,0.0
P03003,postgresB,P01001,0.0
P03004,postgresB,P01001,0.0
P03005,postgresC,P01002,0.0
P03006,postgresB,P01002,0.0
P03007,postgresB,P01002,0.0
P03008,postgresB,P01003,0.0
P03009,postgresA,P01003,0.0
P03010,postgresA,P01003,0.0
P03011,postgresC,P01004,0.0
P03012,postgresA,P01004,0.0
P03013,postgresC,P01004,0.0
P03014,postgresC,P01005,0.0
P03015,postgresB,P01005,0.0
P03016,postgresA,P01005,0.0
P03017,postgresA,P01006,0.0
P03018,postgresA,P01006,0.0
P03019,postgresC,P01006,0.0
P03020,postgresB,P01007,0.0
P03021,postgresB,P01007,0.0
P03022,postgresB,P01007,0.0
P03023,postgresC,P01008,0.0
P03024,postgresA,P01008,0.0
P03025,postgresC,P01008,0.0
P03026,postgresB,P01009,0.0
P03027,postgresA,P01009,0.0
P03028,postgresC,P01009,0.0
P03029,postgresC,P01010,0.0
P03030,postgresC,P01010,0.0
P03031,postgresA,P01010,0.0
P03032,postgresC,P01011,0.0
P03033,postgresC,P01011,0.0
P03034,postgresC,P01011,0.0
P03035,postgresC,P01012,0.0
P03036,postgresB,P01012,0.0
P03037,postgresA,P01012,0.0
P03038,postgresB,P01013,0.0
P03039,postgresC,P01013,0.0
P03040,postgresA,P01013,0.0
P03041,postgresC,P01014,0.0
P03042,postgresB,P01014,0.0
P03043,postgresB,P01014,0.0
P03044,postgresC,P01015,0.0
P03045,postgresA,P01015,0.0
P03046,postgresB,P01015,0.0
P03047,postgresA,P01016,0.0
P03048,postgresA,P01016,0.0
P03049,postgresC,P01016,0.0
P03050,postgresC,P01017,0.0
P03051,postgresB,P01017,0.0
P03052,postgresA,P01017,0.0
P03053,postgresA,P01018,0.0
P03054,postgresA,P01018,0.0
P03055,postgresB,P01018,0.0
P03056,postgresA,P01019,0.0
P03057,postgresA,P01019,0.0
P03058,postgresB,P01019,0.0
P03059,postgresA,P01020,0.0
P03060,postgresA,P01020,0.0
P03061,postgresB,P01020,0.0
P03062,postgresB,P01021,0.0
P03063,postgresB,P01021,0.0
P03064,postgresC,P01021,0.0
P03065,postgresA,P01022,0.0
P03066,postgresA,P01022,0.0
P03067,postgresA,P01022,0.0
P03068,postgresB,P01023,0.0
P03069,postgresB,P01023,0.0
P03070,postgresC,P01023,0.0
P03071,postgresC,P01024,0.0
P03072,postgresB,P01024,0.0
P03073,postgresB,P01024,0.0
P03074,postgresC,P01025,0.0
P03075,postgresA,P01025,0.0
P03076,postgresA,P01025,0.0
P03077,postgresA,P01026,0.0
P03078,postgresA,P01026,0.0
P03079,postgresC,P01026,0.0
P03080,postgresC,P01027,0.0
P03081,postgresC,P01027,0.0
P03082,postgresC,P01027,0.0
P03083,postgresA,P01028,0.0
P03084,postgresA,P01028,0.0
P03085,postgresC,P01028,0.0
P03086,postgresC,P01029,0.0
P03087,postgresA,P01029,0.0
P03088,postgresC,P01029,0.0
P03089,postgresB,P01030,0.0
P03090,postgresC,P01030,0.0
P03091,postgresA,P01030,0.0
P03092,postgresB,P01031,0.0
P03093,postgresC,P01031,0.0
P03094,postgresB,P01031,0.0
P03095,postgresA,P01032,0.0
P03096,postgresB,P01032,0.0
P03097,postgresA,P01032,0.0
P03098,postgresC,P01033,0.0
P03099,postgresB,P01033,0.0
P03100,postgresC,P01033,0.0
P03101,postgresA,P01034,0.0
P03102,postgresB,P01034,0.0
P03103,postgresA,P01034,0.0
P03104,postgresA,P01035,0.0
P03105,postgresA,P01035,0.0
P03106,postgresC,P01035,0.0
P03107,postgresB,P01036,0.0
P03108,postgresB,P01036,0.0
P03109,postgresA,P01036,0.0
P03110,postgresC,P01037,0.0
P03111,postgresB,P01037,0.0
P03112,postgresA,P01037,0.0
P03113,postgresB,P01038,0.0
P03114,postgresA,P01038,0.0
P03115,postgresA,P01038,0.0
P03116,postgresC,P01039,0.0
P03117,postgresC,P01039,0.0
P03118,postgresB,P01039,0.0
P03119,postgresA,P01040,0.0
P03120,postgresA,P01040,0.0
P03121,postgresA,P01040,0.0
P03122,postgresC,P01041,0.0
P03123,postgresC,P01041,0.0
P03124,postgresC,P01041,0.0
P03125,postgresA,P01042,0.0
P03126,postgresA,P01042,0.0
P03127,postgresC,P01042,0.0
P03128,postgresA,P01043,0.0
P03129,postgresA,P01043,0.0
P03130,postgresC,P01043,0.0
P03131,postgresC,P01044,0.0
P03132,postgresC,P01044,0.0
P03133,postgresA,P01044,0.0
P03134,postgresB,P01045,0.0
P03135,postgresC,P01045,0.0
P03136,postgresB,P01045,0.0
P03137,postgresA,P01046,0.0
P03138,postgresC,P01046,0.0
P03139,postgresB,P01046,0.0
P03140,postgresC,P01047,0.0
P03141,postgresC,P01047,0.0
P03142,postgresB,P01047,0.0
P03143,postgresB,P01048,0.0
P03144,postgresB,P01048,0.0
P03145,postgresC,P01048,0.0
P03146,postgresB,P01049,0.0
P03147,postgresC,P01049,0.0
P03148,postgresC,P01049,0.0
P03149,postgresA,P01050,0.0
P03150,postgresA,P01050,0.0
P03151,postgresC,P01050,0.0
P03152,postgresB,P01051,0.0
P03153,postgresA,P01051,0.0
P03154,postgresC,P01051,0.0
P03155,postgresC,P01052,0.0
P03156,postgresC,P01052,0.0
P03157,postgresB,P01052,0.0
P03158,postgresC,P01053,0.0
P03159,postgresC,P01053,0.0
P03160,postgresC,P01053,0.0
P03161,postgresA,P01054,0.0
P03162,postgresA,P01054,0.0
P03163,postgresA,P01054,0.0
P03164,postgresC,P01055,0.0
P03165,postgresA,P01055,0.0
P03166,postgresB,P01055,0.0
P03167,postgresA,P01056,0.0
P03168,postgresA,P01056,0.0
P03169,postgresB,P01056,0.0
P03170,postgresA,P01057,0.0
P03171,postgresC,P01057,0.0
P03172,postgresB,P01057,0.0
P03173,postgresA,P01058,0.0
P03174,postgresA,P01058,0.0
P03175,postgresC,P01058,0.0
P03176,postgresB,P01059,0.0
P03177,postgresC,P01059,0.0
P03178,postgresA,P01059,0.0
P03179,postgresC,P01060,0.0
P03180,postgresB,P01060,0.0
P03181,postgresC,P01060,0.0
P03182,postgresC,P01061,0.0
P03183,postgresA,P01061,0.0
P03184,postgresB,P01061,0.0
P03185,postgresB,P01062,0.0
P03186,postgresC,P01062,0.0
P03187,postgresB,P01062,0.0
P03188,postgresB,P01063,0.0
P03189,postgresB,P01063,0.0
P03190,postgresB,P01063,0.0
P03191,postgresA,P01064,0.0
P03192,postgresB,P01064,0.0
P03193,postgresA,P01064,0.0
P03194,postgresB,P01065,0.0
P03195,postgresB,P01065,0.0
P03196,postgresC,P01065,0.0
P03197,postgresC,P01066,0.0
P03198,postgresC,P01066,0.0
P03199,postgresB,P01066,0.0
P03200,postgresA,P01067,0.0
P03201,postgresA,P01067,0.0
P03202,postgresA,P01067,0.0
P03203,postgresA,P01068,0.0
P03204,postgresC,P01068,0.0
P03205,postgresC,P01068,0.0
P03206,postgresC,P01069,0.0
P03207,postgresB,P01069,0.0
P03208,postgresA,P01069,0.0
P03209,postgresB,P01070,0.0
P03210,postgresA,P01070,0.0
P03211,postgresC,P01070,0.0
P03212,postgresB,P01071,0.0
P03213,postgresC,P01071,0.0
P03214,postgresC,P01071,0.0
P03215,postgresA,P01072,0.0
P03216,postgresA,P01072,0.0
P03217,postgresA,P01072,0.0
P03218,postgresA,P01073,0.0
P03219,postgresA,P01073,0.0
P03220,postgresC,P01073,0.0
P03221,postgresB,P01074,0.0
P03222,postgresA,P01074,0.0
P03223,postgresA,P01074,0.0
P03224,postgresA,P01075,0.0
P03225,postgresC,P01075,0.0
P03226,postgresC,P01075,0.0
P03227,postgresA,P01076,0.0
P03228,postgresA,P01076,0.0
P03229,postgresA,P01076,0.0
P03230,postgresC,P01077,0.0
P03231,postgresB,P01077,0.0
P03232,postgresB,P01077,0.0
P03233,postgresA,P01078,0.0
P03234,postgresB,P01078,0.0
P03235,postgresC,P01078,0.0
P03236,postgresB,P01079,0.0
P03237,postgresB,P01079,0.0
P03238,postgresB,P01079,0.0
P03239,postgresA,P01080,0.0
P03240,postgresB,P01080,0.0
P03241,postgresB,P01080,0.0
P03242,postgresC,P01081,0.0
P03243,postgresB,P01081,0.0
P03244,postgresC,P01081,0.0
P03245,postgresA,P01082,0.0
P03246,postgresB,P01082,0.0
P03247,postgresC,P01082,0.0
P03248,postgresB,P01083,0.0
P03249,postgresA,P01083,0.0
P03250,postgresB,P01083,0.0
P03251,postgresA,P01084,0.0
P03252,postgresC,P01084,0.0
P03253,postgresB,P01084,0.0
P03254,postgresC,P01085,0.0
P03255,postgresB,P01085,0.0
P03256,postgresA,P01085,0.0
P03257,postgresA,P01086,0.0
P03258,postgresB,P01086,0.0
P03259,postgresC,P01086,0.0
P03260,postgresB,P01087,0.0
P03261,postgresA,P01087,0.0
P03262,postgresC,P01087,0.0
P03263,postgresC,P01088,0.0
P03264,postgresB,P01088,0.0
P03265,postgresC,P01088,0.0
P03266,postgresA,P01089,0.0
P03267,postgresA,P01089,0.0
P03268,postgresC,P01089,0.0
P03269,postgresC,P01090,0.0
P03270,postgresB,P01090,0.0
P03271,postgresB,P01090,0.0
P03272,postgresA,P01091,0.0
P03273,postgresC,P01091,0.0
P03274,postgresC,P01091,0.0
P03275,postgresC,P01092,0.0
P03276,postgresA,P01092,0.0
P03277,postgresB,P01092,0.0
P03278,postgresA,P01093,0.0
P03279,postgresA,P01093,0.0
P03280,postgresC,P01093,0.0
P03281,postgresB,P01094,0.0
P03282,postgresA,P01094,0.0
P03283,postgresA,P01094,0.0
P03284,postgresC,P01095,0.0
P03285,postgresB,P01095,0.0
P03286,postgresA,P01095,0.0
P03287,postgresB,P01096,0.0
P03288,postgresA,P01096,0.0
P03289,postgresA,P01096,0.0
P03290,postgresB,P01097,0.0
P03291,postgresC,P01097,0.0
P03292,postgresB,P01097,0.0
P03293,postgresA,P01098,0.0
P03294,postgresC,P01098,0.0
P03295,postgresB,P01098,0.0
P03296,postgresC,P01099,0.0
P03297,postgresA,P01099,0.0
P03298,postgresC,P01099,0.0
P03299,postgresB,P01100,0.0
P03300,postgresB,P01100,0.0
P03301,postgresA,P01100,0.0
P03302,postgresB,P01101,0.0
P03303,postgresA,P01101,0.0
P03304,postgresC,P01101,0.0
P03305,postgresC,P01102,0.0
P03306,postgresA,P01102,0.0
P03307,postgresA,P01102,0.0
P03308,postgresB,P01103,0.0
P03309,postgresB,P01103,0.0
P03310,postgresB,P01103,0.0
P03311,postgresC,P01104,0.0
P03312,postgresB,P01104,0.0
P03313,postgresB,P01104,0.0
P03314,postgresA,P01105,0.0
P03315,postgresA,P01105,0.0
P03316,postgresB,P01105,0.0
P03317,postgresB,P01106,0.0
P03318,postgresA,P01106,0.0
P03319,postgresC,P01106,0.0
P03320,postgresB,P01107,0.0
P03321,postgresB,P01107,0.0
P03322,postgresC,P01107,0.0
P03323,postgresC,P01108,0.0
P03324,postgresA,P01108,0.0
P03325,postgresA,P01108,0.0
P03326,postgresB,P01109,0.0
P03327,postgresB,P01109,0.0
P03328,postgresA,P01109,0.0
