partsid,datalink,cfp,parents_partsid,totalcfp
P09560,postgresC,7.547,P03187,0.0
P09561,postgresB,8.293,P03187,0.0
P09562,postgresB,5.355,P03187,0.0
P09563,postgresB,1.282,P03188,0.0
P09564,postgresC,7.348,P03188,0.0
P09565,postgresA,5.026,P03188,0.0
P09566,postgresC,3.363,P03189,0.0
P09567,postgresB,8.868,P03189,0.0
P09568,postgresC,6.902,P03189,0.0
P09569,postgresA,8.403,P03190,0.0
P09570,postgresA,4.827,P03190,0.0
P09571,postgresA,8.883,P03190,0.0
P09572,postgresB,1.922,P03191,0.0
P09573,postgresC,8.68,P03191,0.0
P09574,postgresA,8.77,P03191,0.0
P09575,postgresA,7.216,P03192,0.0
P09576,postgresC,3.785,P03192,0.0
P09577,postgresA,0.888,P03192,0.0
P09578,postgresB,7.873,P03193,0.0
P09579,postgresA,4.766,P03193,0.0
P09580,postgresC,3.941,P03193,0.0
P09581,postgresC,8.166,P03194,0.0
P09582,postgresC,7.143,P03194,0.0
P09583,postgresA,3.415,P03194,0.0
P09584,postgresC,1.947,P03195,0.0
P09585,postgresB,1.963,P03195,0.0
P09586,postgresC,2.652,P03195,0.0
P09587,postgresC,8.611,P03196,0.0
P09588,postgresB,9.12,P03196,0.0
P09589,postgresA,8.858,P03196,0.0
P09590,postgresC,0.986,P03197,0.0
P09591,postgresC,7.959,P03197,0.0
P09592,postgresC,1.661,P03197,0.0
P09593,postgresA,0.066,P03198,0.0
P09594,postgresA,4.411,P03198,0.0
P09595,postgresB,1.476,P03198,0.0
P09596,postgresB,2.833,P03199,0.0
P09597,postgresC,0.647,P03199,0.0
P09598,postgresB,7.998,P03199,0.0
P09599,postgresB,3.209,P03200,0.0
P09600,postgresA,8.804,P03200,0.0
P09601,postgresC,3.046,P03200,0.0
P09602,postgresC,5.13,P03201,0.0
P09603,postgresC,5.542,P03201,0.0
P09604,postgresC,3.879,P03201,0.0
P09605,postgresA,2.336,P03202,0.0
P09606,postgresC,9.829,P03202,0.0
P09607,postgresB,9.177,P03202,0.0
P09608,postgresA,0.797,P03203,0.0
P09609,postgresC,8.556,P03203,0.0
P09610,postgresA,8.974,P03203,0.0
P09611,postgresA,5.73,P03204,0.0
P09612,postgresB,9.019,P03204,0.0
P09613,postgresC,5.47,P03204,0.0
P09614,postgresC,3.022,P03205,0.0
P09615,postgresA,3.721,P03205,0.0
P09616,postgresB,4.236,P03205,0.0
P09617,postgresB,9.526,P03206,0.0
P09618,postgresA,9.43,P03206,0.0
P09619,postgresA,4.436,P03206,0.0
P09620,postgresA,9.062,P03207,0.0
P09621,postgresB,9.958,P03207,0.0
P09622,postgresC,3.196,P03207,0.0
P09623,postgresB,9.368,P03208,0.0
P09624,postgresC,3.789,P03208,0.0
P09625,postgresA,5.279,P03208,0.0
P09626,postgresA,3.899,P03209,0.0
P09627,postgresC,9.042,P03209,0.0
P09628,postgresB,3.634,P03209,0.0
P09629,postgresB,2.544,P03210,0.0
P09630,postgresC,7.847,P03210,0.0
P09631,postgresB,1.438,P03210,0.0
P09632,postgresA,1.151,P03211,0.0
P09633,postgresC,1.005,P03211,0.0
P09634,postgresC,9.47,P03211,0.0
P09635,postgresA,3.567,P03212,0.0
P09636,postgresA,6.705,P03212,0.0
P09637,postgresA,9.552,P03212,0.0
P09638,postgresB,3.646,P03213,0.0
P09639,postgresA,3.169,P03213,0.0
P09640,postgresB,4.823,P03213,0.0
P09641,postgresA,9.55,P03214,0.0
P09642,postgresA,6.879,P03214,0.0
P09643,postgresA,6.573,P03214,0.0
P09644,postgresC,2.113,P03215,0.0
P09645,postgresA,8.385,P03215,0.0
P09646,postgresB,3.688,P03215,0.0
P09647,postgresB,9.28,P03216,0.0
P09648,postgresA,0.382,P03216,0.0
P09649,postgresB,7.535,P03216,0.0
P09650,postgresC,3.743,P03217,0.0
P09651,postgresC,7.998,P03217,0.0
P09652,postgresB,4.285,P03217,0.0
P09653,postgresA,2.638,P03218,0.0
P09654,postgresA,4.056,P03218,0.0
P09655,postgresA,0.122,P03218,0.0
P09656,postgresC,5.464,P03219,0.0
P09657,postgresA,6.176,P03219,0.0
P09658,postgresC,9.636,P03219,0.0
P09659,postgresB,6.706,P03220,0.0
P09660,postgresA,3.913,P03220,0.0
P09661,postgresB,5.433,P03220,0.0
P09662,postgresB,3.813,P03221,0.0
P09663,postgresC,2.83,P03221,0.0
P09664,postgresC,8.933,P03221,0.0
P09665,postgresC,5.136,P03222,0.0
P09666,postgresC,4.969,P03222,0.0
P09667,postgresA,7.099,P03222,0.0
P09668,postgresA,1.306,P03223,0.0
P09669,postgresC,5.454,P03223,0.0
P09670,postgresC,8.015,P03223,0.0
P09671,postgresA,9.556,P03224,0.0
P09672,postgresC,8.623,P03224,0.0
P09673,postgresB,3.276,P03224,0.0
P09674,postgresA,6.179,P03225,0.0
P09675,postgresA,2.145,P03225,0.0
P09676,postgresA,0.793,P03225,0.0
P09677,postgresA,7.634,P03226,0.0
P09678,postgresC,4.151,P03226,0.0
P09679,postgresA,0.121,P03226,0.0
P09680,postgresA,1.855,P03227,0.0
P09681,postgresA,7.123,P03227,0.0
P09682,postgresB,4.096,P03227,0.0
P09683,postgresA,7.141,P03228,0.0
P09684,postgresB,5.967,P03228,0.0
P09685,postgresB,1.697,P03228,0.0
P09686,postgresC,6.94,P03229,0.0
P09687,postgresC,8.595,P03229,0.0
P09688,postgresC,9.593,P03229,0.0
P09689,postgresA,8.799,P03230,0.0
P09690,postgresB,8.308,P03230,0.0
P09691,postgresC,0.912,P03230,0.0
P09692,postgresC,4.343,P03231,0.0
P09693,postgresC,6.917,P03231,0.0
P09694,postgresC,0.869,P03231,0.0
P09695,postgresC,5.311,P03232,0.0
P09696,postgresB,2.151,P03232,0.0
P09697,postgresA,4.13,P03232,0.0
P09698,postgresA,9.772,P03233,0.0
P09699,postgresC,8.473,P03233,0.0
P09700,postgresB,7.966,P03233,0.0
P09701,postgresA,9.572,P03234,0.0
P09702,postgresB,5.042,P03234,0.0
P09703,postgresA,7.912,P03234,0.0
P09704,postgresB,8.306,P03235,0.0
P09705,postgresB,1.659,P03235,0.0
P09706,postgresC,7.999,P03235,0.0
P09707,postgresC,5.138,P03236,0.0
P09708,postgresC,8.334,P03236,0.0
P09709,postgresB,3.463,P03236,0.0
P09710,postgresA,0.469,P03237,0.0
P09711,postgresC,3.254,P03237,0.0
P09712,postgresA,2.431,P03237,0.0
P09713,postgresA,2.316,P03238,0.0
P09714,postgresA,1.501,P03238,0.0
P09715,postgresA,4.645,P03238,0.0
P09716,postgresA,2.508,P03239,0.0
P09717,postgresC,7.056,P03239,0.0
P09718,postgresB,9.884,P03239,0.0
P09719,postgresC,0.798,P03240,0.0
P09720,postgresB,5.402,P03240,0.0
P09721,postgresA,4.129,P03240,0.0
P09722,postgresB,5.421,P03241,0.0
P09723,postgresA,9.964,P03241,0.0
P09724,postgresA,5.735,P03241,0.0
P09725,postgresA,0.096,P03242,0.0
P09726,postgresC,2.107,P03242,0.0
P09727,postgresA,6.209,P03242,0.0
P09728,postgresA,3.679,P03243,0.0
P09729,postgresC,5.231,P03243,0.0
P09730,postgresB,7.366,P03243,0.0
P09731,postgresA,1.43,P03244,0.0
P09732,postgresB,4.919,P03244,0.0
P09733,postgresC,7.922,P03244,0.0
P09734,postgresC,3.138,P03245,0.0
P09735,postgresC,3.513,P03245,0.0
P09736,postgresA,5.311,P03245,0.0
P09737,postgresB,5.495,P03246,0.0
P09738,postgresC,9.996,P03246,0.0
P09739,postgresC,7.093,P03246,0.0
P09740,postgresB,7.081,P03247,0.0
P09741,postgresC,3.778,P03247,0.0
P09742,postgresB,8.75,P03247,0.0
P09743,postgresA,7.205,P03248,0.0
P09744,postgresC,7.337,P03248,0.0
P09745,postgresA,9.119,P03248,0.0
P09746,postgresB,7.104,P03249,0.0
P09747,postgresC,0.756,P03249,0.0
P09748,postgresC,0.091,P03249,0.0
P09749,postgresC,0.311,P03250,0.0
P09750,postgresC,7.999,P03250,0.0
P09751,postgresB,2.509,P03250,0.0
P09752,postgresC,5.447,P03251,0.0
P09753,postgresB,6.11,P03251,0.0
P09754,postgresA,0.383,P03251,0.0
P09755,postgresB,9.3,P03252,0.0
P09756,postgresA,9.256,P03252,0.0
P09757,postgresC,5.681,P03252,0.0
P09758,postgresB,0.202,P03253,0.0
P09759,postgresB,6.137,P03253,0.0
P09760,postgresC,3.869,P03253,0.0
P09761,postgresA,3.23,P03254,0.0
P09762,postgresA,3.543,P03254,0.0
P09763,postgresB,2.176,P03254,0.0
P09764,postgresB,7.582,P03255,0.0
P09765,postgresC,6.163,P03255,0.0
P09766,postgresB,5.103,P03255,0.0
P09767,postgresC,6.733,P03256,0.0
P09768,postgresC,7.613,P03256,0.0
P09769,postgresA,0.265,P03256,0.0
P09770,postgresC,8.644,P03257,0.0
P09771,postgresC,0.627,P03257,0.0
P09772,postgresB,8.427,P03257,0.0
P09773,postgresA,2.965,P03258,0.0
P09774,postgresA,0.635,P03258,0.0
P09775,postgresC,0.245,P03258,0.0
P09776,postgresC,9.998,P03259,0.0
P09777,postgresC,2.615,P03259,0.0
P09778,postgresB,6.502,P03259,0.0
P09779,postgresC,4.205,P03260,0.0
P09780,postgresA,5.31,P03260,0.0
P09781,postgresC,6.95,P03260,0.0
P09782,postgresA,1.1,P03261,0.0
P09783,postgresB,8.322,P03261,0.0
P09784,postgresC,5.487,P03261,0.0
P09785,postgresC,9.838,P03262,0.0
P09786,postgresB,0.818,P03262,0.0
P09787,postgresB,5.15,P03262,0.0
P09788,postgresB,0.356,P03263,0.0
P09789,postgresC,4.66,P03263,0.0
P09790,postgresA,7.713,P03263,0.0
P09791,postgresC,5.885,P03264,0.0
P09792,postgresC,5.678,P03264,0.0
P09793,postgresA,5.395,P03264,0.0
P09794,postgresA,0.18,P03265,0.0
P09795,postgresB,3.058,P03265,0.0
P09796,postgresA,2.019,P03265,0.0
P09797,postgresC,3.395,P03266,0.0
P09798,postgresC,1.715,P03266,0.0
P09799,postgresA,9.689,P03266,0.0
P09800,postgresC,2.512,P03267,0.0
P09801,postgresA,2.511,P03267,0.0
P09802,postgresC,4.247,P03267,0.0
P09803,postgresB,6.217,P03268,0.0
P09804,postgresC,7.029,P03268,0.0
P09805,postgresB,0.554,P03268,0.0
P09806,postgresB,2.288,P03269,0.0
P09807,postgresA,3.11,P03269,0.0
P09808,postgresB,8.406,P03269,0.0
P09809,postgresC,3.551,P03270,0.0
P09810,postgresC,7.514,P03270,0.0
P09811,postgresC,8.911,P03270,0.0
P09812,postgresC,8.021,P03271,0.0
P09813,postgresC,0.44,P03271,0.0
P09814,postgresA,7.419,P03271,0.0
P09815,postgresC,8.592,P03272,0.0
P09816,postgresC,1.746,P03272,0.0
P09817,postgresA,1.876,P03272,0.0
P09818,postgresB,8.115,P03273,0.0
P09819,postgresA,9.544,P03273,0.0
P09820,postgresC,9.978,P03273,0.0
P09821,postgresB,0.518,P03274,0.0
P09822,postgresC,4.4,P03274,0.0
P09823,postgresC,2.336,P03274,0.0
P09824,postgresA,3.947,P03275,0.0
P09825,postgresC,0.965,P03275,0.0
P09826,postgresC,1.803,P03275,0.0
P09827,postgresB,3.338,P03276,0.0
P09828,postgresC,4.815,P03276,0.0
P09829,postgresA,7.227,P03276,0.0
P09830,postgresA,0.19,P03277,0.0
P09831,postgresB,7.33,P03277,0.0
P09832,postgresC,8.126,P03277,0.0
P09833,postgresB,4.888,P03278,0.0
P09834,postgresA,2.54,P03278,0.0
P09835,postgresA,8.074,P03278,0.0
P09836,postgresA,6.561,P03279,0.0
P09837,postgresB,4.544,P03279,0.0
P09838,postgresA,2.121,P03279,0.0
P09839,postgresA,2.355,P03280,0.0
P09840,postgresA,2.025,P03280,0.0
P09841,postgresC,7.445,P03280,0.0
P09842,postgresC,6.996,P03281,0.0
P09843,postgresB,8.591,P03281,0.0
P09844,postgresA,5.932,P03281,0.0
P09845,postgresC,6.22,P03282,0.0
P09846,postgresB,9.791,P03282,0.0
P09847,postgresB,7.883,P03282,0.0
P09848,postgresC,2.697,P03283,0.0
P09849,postgresB,0.409,P03283,0.0
P09850,postgresB,3.565,P03283,0.0
P09851,postgresC,7.066,P03284,0.0
P09852,postgresA,4.882,P03284,0.0
P09853,postgresA,5.935,P03284,0.0
P09854,postgresB,3.495,P03285,0.0
P09855,postgresB,7.313,P03285,0.0
P09856,postgresC,0.708,P03285,0.0
P09857,postgresC,8.694,P03286,0.0
P09858,postgresA,5.915,P03286,0.0
P09859,postgresB,5.367,P03286,0.0
P09860,postgresA,3.099,P03287,0.0
P09861,postgresA,4.736,P03287,0.0
P09862,postgresB,5.964,P03287,0.0
P09863,postgresB,9.838,P03288,0.0
P09864,postgresA,9.044,P03288,0.0
P09865,postgresA,6.321,P03288,0.0
P09866,postgresB,1.235,P03289,0.0
P09867,postgresB,6.675,P03289,0.0
P09868,postgresB,1.134,P03289,0.0
P09869,postgresB,3.862,P03290,0.0
P09870,postgresB,7.404,P03290,0.0
P09871,postgresA,6.307,P03290,0.0
P09872,postgresC,0.293,P03291,0.0
P09873,postgresA,7.952,P03291,0.0
P09874,postgresB,6.84,P03291,0.0
P09875,postgresB,4.391,P03292,0.0
P09876,postgresA,7.692,P03292,0.0
P09877,postgresA,2.385,P03292,0.0
P09878,postgresC,7.97,P03293,0.0
P09879,postgresB,7.759,P03293,0.0
P09880,postgresC,6.506,P03293,0.0
P09881,postgresB,3.581,P03294,0.0
P09882,postgresA,6.93,P03294,0.0
P09883,postgresA,1.004,P03294,0.0
P09884,postgresB,6.919,P03295,0.0
P09885,postgresB,8.016,P03295,0.0
P09886,postgresC,6.451,P03295,0.0
P09887,postgresA,3.164,P03296,0.0
P09888,postgresC,4.714,P03296,0.0
P09889,postgresA,0.964,P03296,0.0
P09890,postgresB,4.787,P03297,0.0
P09891,postgresC,9.016,P03297,0.0
P09892,postgresC,9.098,P03297,0.0
P09893,postgresC,9.866,P03298,0.0
P09894,postgresB,6.82,P03298,0.0
P09895,postgresC,0.759,P03298,0.0
P09896,postgresC,8.828,P03299,0.0
P09897,postgresA,5.571,P03299,0.0
P09898,postgresB,3.617,P03299,0.0
P09899,postgresC,6.997,P03300,0.0
P09900,postgresC,9.912,P03300,0.0
P09901,postgresB,3.468,P03300,0.0
P09902,postgresB,3.67,P03301,0.0
P09903,postgresB,7.975,P03301,0.0
P09904,postgresA,6.72,P03301,0.0
P09905,postgresC,6.162,P03302,0.0
P09906,postgresB,8.43,P03302,0.0
P09907,postgresB,8.91,P03302,0.0
P09908,postgresB,8.684,P03303,0.0
P09909,postgresC,4.645,P03303,0.0
P09910,postgresB,5.449,P03303,0.0
P09911,postgresB,6.881,P03304,0.0
P09912,postgresB,3.021,P03304,0.0
P09913,postgresB,0.449,P03304,0.0
P09914,postgresA,0.535,P03305,0.0
P09915,postgresC,4.619,P03305,0.0
P09916,postgresA,3.753,P03305,0.0
P09917,postgresB,6.029,P03306,0.0
P09918,postgresB,9.804,P03306,0.0
P09919,postgresA,6.992,P03306,0.0
P09920,postgresA,7.405,P03307,0.0
P09921,postgresA,3.455,P03307,0.0
P09922,postgresC,2.036,P03307,0.0
P09923,postgresC,5.628,P03308,0.0
P09924,postgresA,9.91,P03308,0.0
P09925,postgresA,7.705,P03308,0.0
P09926,postgresB,6.417,P03309,0.0
P09927,postgresA,6.714,P03309,0.0
P09928,postgresB,8.496,P03309,0.0
P09929,postgresA,0.42,P03310,0.0
P09930,postgresA,4.47,P03310,0.0
P09931,postgresB,2.416,P03310,0.0
P09932,postgresC,1.069,P03311,0.0
P09933,postgresC,4.032,P03311,0.0
P09934,postgresC,7.982,P03311,0.0
P09935,postgresB,7.055,P03312,0.0
P09936,postgresA,5.461,P03312,0.0
P09937,postgresB,3.108,P03312,0.0
P09938,postgresA,8.275,P03313,0.0
P09939,postgresC,2.266,P03313,0.0
P09940,postgresC,4.32,P03313,0.0
P09941,postgresB,4.688,P03314,0.0
P09942,postgresB,1.403,P03314,0.0
P09943,postgresC,3.592,P03314,0.0
P09944,postgresA,4.695,P03315,0.0
P09945,postgresA,9.179,P03315,0.0
P09946,postgresA,4.679,P03315,0.0
P09947,postgresA,9.697,P03316,0.0
P09948,postgresC,5.06,P03316,0.0
P09949,postgresA,5.516,P03316,0.0
P09950,postgresA,8.378,P03317,0.0
P09951,postgresC,2.786,P03317,0.0
P09952,postgresA,6.402,P03317,0.0
P09953,postgresB,3.3,P03318,0.0
P09954,postgresA,0.9,P03318,0.0
P09955,postgresC,7.768,P03318,0.0
P09956,postgresC,6.908,P03319,0.0
P09957,postgresB,8.2,P03319,0.0
P09958,postgresA,6.384,P03319,0.0
P09959,postgresA,1.227,P03320,0.0
P09960,postgresB,9.141,P03320,0.0
P09961,postgresB,6.726,P03320,0.0
P09962,postgresA,6.698,P03321,0.0
P09963,postgresA,1.197,P03321,0.0
P09964,postgresA,7.787,P03321,0.0
P09965,postgresA,5.074,P03322,0.0
P09966,postgresA,8.628,P03322,0.0
P09967,postgresA,6.325,P03322,0.0
P09968,postgresC,2.467,P03323,0.0
P09969,postgresC,5.947,P03323,0.0
P09970,postgresC,5.359,P03323,0.0
P09971,postgresC,2.097,P03324,0.0
P09972,postgresA,4.764,P03324,0.0
P09973,postgresC,0.906,P03324,0.0
P09974,postgresC,2.873,P03325,0.0
P09975,postgresB,7.788,P03325,0.0
P09976,postgresC,7.524,P03325,0.0
P09977,postgresB,5.142,P03326,0.0
P09978,postgresC,8.057,P03326,0.0
P09979,postgresC,7.662,P03326,0.0
P09980,postgresA,5.834,P03327,0.0
P09981,postgresB,0.833,P03327,0.0
P09982,postgresC,3.102,P03327,0.0
P09983,postgresB,2.182,P03328,0.0
P09984,postgresC,4.396,P03328,0.0
P09985,postgresC,0.016,P03328,0.0
P09986,postgresC,8.2,P03329,0.0
P09987,postgresB,6.089,P03329,0.0
P09988,postgresC,9.287,P03329,0.0
P09989,postgresB,6.257,P03330,0.0
P09990,postgresB,6.839,P03330,0.0
P09991,postgresA,6.133,P03330,0.0
P09992,postgresC,0.434,P03331,0.0
P09993,postgresB,1.704,P03331,0.0
P09994,postgresC,7.432,P03331,0.0
P09995,postgresA,8.757,P03332,0.0
P09996,postgresC,2.112,P03332,0.0
P09997,postgresC,8.823,P03332,0.0
P09998,postgresC,8.839,P03333,0.0
P09999,postgresA,0.43,P03333,0.0
P10000,postgresC,5.652,P03333,5.652
P10001,postgresA,4.134,P03334,4.134
P10002,postgresC,2.151,P03334,2.151
P10003,postgresA,8.18,P03334,8.18
P10004,postgresA,4.301,P03335,4.301
P10005,postgresA,6.432,P03335,6.432
P10006,postgresA,4.991,P03335,4.991
P10007,postgresB,3.044,P03336,3.044
P10008,postgresA,5.231,P03336,5.231
P10009,postgresB,4.301,P03336,4.301
P10010,postgresA,1.605,P03337,1.605
P10011,postgresC,8.008,P03337,8.008
P10012,postgresA,5.346,P03337,5.346
P10013,postgresC,5.56,P03338,5.56
P10014,postgresC,9.707,P03338,9.707
P10015,postgresB,2.176,P03338,2.176
P10016,postgresB,4.035,P03339,4.035
P10017,postgresC,9.211,P03339,9.211
P10018,postgresA,8.66,P03339,8.66
P10019,postgresB,3.683,P03340,3.683
P10020,postgresC,2.859,P03340,2.859
P10021,postgresA,4.128,P03340,4.128
P10022,postgresA,4.95,P03341,4.95
P10023,postgresA,2.827,P03341,2.827
P10024,postgresA,8.062,P03341,8.062
P10025,postgresC,9.799,P03342,9.799
P10026,postgresA,1.445,P03342,1.445
P10027,postgresB,7.94,P03342,7.94
P10028,postgresB,0.642,P03343,0.642
P10029,postgresB,4.238,P03343,4.238
P10030,postgresA,9.667,P03343,9.667
P10031,postgresB,1.129,P03344,1.129
P10032,postgresC,5.562,P03344,5.562
P10033,postgresB,7.42,P03344,7.42
P10034,postgresB,0.527,P03345,0.527
P10035,postgresC,3.727,P03345,3.727
P10036,postgresA,4.016,P03345,4.016
P10037,postgresB,6.466,P03346,6.466
P10038,postgresC,3.228,P03346,3.228
P10039,postgresC,1.16,P03346,1.16
P10040,postgresC,1.143,P03347,1.143
P10041,postgresB,4.834,P03347,4.834
P10042,postgresC,7.628,P03347,7.628
P10043,postgresC,7.049,P03348,7.049
P10044,postgresA,1.321,P03348,1.321
P10045,postgresC,1.841,P03348,1.841
P10046,postgresB,1.448,P03349,1.448
P10047,postgresB,3.221,P03349,3.221
P10048,postgresB,1.829,P03349,1.829
P10049,postgresA,9.111,P03350,9.111
P10050,postgresC,7.77,P03350,7.77
P10051,postgresB,4.855,P03350,4.855
P10052,postgresB,5.381,P03351,5.381
P10053,postgresC,3.017,P03351,3.017
P10054,postgresB,6.788,P03351,6.788
P10055,postgresB,0.907,P03352,0.907
P10056,postgresA,0.809,P03352,0.809
P10057,postgresB,5.009,P03352,5.009
P10058,postgresB,0.136,P03353,0.136
P10059,postgresB,9.536,P03353,9.536
P10060,postgresB,1.696,P03353,1.696
P10061,postgresB,7.068,P03354,7.068
P10062,postgresC,6.674,P03354,6.674
P10063,postgresA,7.485,P03354,7.485
P10064,postgresC,0.016,P03355,0.016
P10065,postgresA,4.349,P03355,4.349
P10066,postgresB,9.564,P03355,9.564
P10067,postgresC,4.2,P03356,4.2
P10068,postgresA,2.272,P03356,2.272
P10069,postgresB,8.5,P03356,8.5
P10070,postgresA,6.752,P03357,6.752
P10071,postgresA,1.862,P03357,1.862
P10072,postgresB,4.877,P03357,4.877
P10073,postgresA,2.859,P03358,2.859
P10074,postgresA,1.723,P03358,1.723
P10075,postgresA,0.171,P03358,0.171
P10076,postgresC,4.722,P03359,4.722
P10077,postgresA,2.215,P03359,2.215
P10078,postgresC,5.424,P03359,5.424
P10079,postgresB,2.283,P03360,2.283
P10080,postgresA,9.968,P03360,9.968
P10081,postgresC,9.621,P03360,9.621
P10082,postgresB,7.398,P03361,7.398
P10083,postgresA,8.931,P03361,8.931
P10084,postgresC,2.483,P03361,2.483
P10085,postgresC,6.709,P03362,6.709
P10086,postgresC,9.153,P03362,9.153
P10087,postgresC,0.674,P03362,0.674
P10088,postgresC,9.684,P03363,9.684
P10089,postgresC,8.514,P03363,8.514
P10090,postgresC,4.269,P03363,4.269
P10091,postgresC,0.085,P03364,0.085
P10092,postgresC,4.786,P03364,4.786
P10093,postgresC,7.245,P03364,7.245
P10094,postgresC,6.185,P03365,6.185
P10095,postgresA,4.568,P03365,4.568
P10096,postgresC,6.514,P03365,6.514
P10097,postgresA,2.029,P03366,2.029
P10098,postgresC,0.133,P03366,0.133
P10099,postgresB,3.25,P03366,3.25
P10100,postgresA,4.627,P03367,4.627
P10101,postgresB,4.916,P03367,4.916
P10102,postgresC,6.78,P03367,6.78
P10103,postgresB,4.501,P03368,4.501
P10104,postgresA,5.668,P03368,5.668
P10105,postgresB,0.804,P03368,0.804
P10106,postgresB,5.816,P03369,5.816
P10107,postgresC,5.055,P03369,5.055
P10108,postgresB,4.996,P03369,4.996
P10109,postgresA,0.553,P03370,0.553
P10110,postgresA,1.599,P03370,1.599
P10111,postgresA,7.122,P03370,7.122
P10112,postgresC,9.425,P03371,9.425
P10113,postgresB,0.063,P03371,0.063
P10114,postgresC,2.057,P03371,2.057
P10115,postgresB,8.094,P03372,8.094
P10116,postgresB,0.259,P03372,0.259
P10117,postgresB,1.932,P03372,1.932
P10118,postgresB,1.38,P03373,1.38
P10119,postgresC,5.0,P03373,5.0
P10120,postgresA,0.419,P03373,0.419
P10121,postgresB,7.407,P03374,7.407
P10122,postgresB,1.628,P03374,1.628
P10123,postgresA,1.205,P03374,1.205
P10124,postgresA,9.478,P03375,9.478
P10125,postgresB,6.739,P03375,6.739
P10126,postgresC,4.554,P03375,4.554
P10127,postgresA,3.925,P03376,3.925
P10128,postgresC,6.773,P03376,6.773
P10129,postgresA,7.047,P03376,7.047
P10130,postgresB,0.862,P03377,0.862
P10131,postgresA,6.446,P03377,6.446
P10132,postgresB,8.392,P03377,8.392
P10133,postgresA,2.728,P03378,2.728
P10134,postgresC,4.785,P03378,4.785
P10135,postgresB,5.682,P03378,5.682
P10136,postgresA,1.281,P03379,1.281
P10137,postgresB,1.084,P03379,1.084
P10138,postgresA,0.272,P03379,0.272
P10139,postgresA,0.154,P03380,0.154
P10140,postgresA,5.248,P03380,5.248
P10141,postgresC,0.962,P03380,0.962
P10142,postgresB,5.748,P03381,5.748
P10143,postgresC,9.968,P03381,9.968
P10144,postgresC,6.28,P03381,6.28
P10145,postgresB,5.507,P03382,5.507
P10146,postgresA,0.765,P03382,0.765
P10147,postgresA,8.131,P03382,8.131
P10148,postgresC,3.127,P03383,3.127
P10149,postgresC,0.562,P03383,0.562
P10150,postgresA,2.457,P03383,2.457
P10151,postgresC,6.886,P03384,6.886
P10152,postgresB,2.323,P03384,2.323
P10153,postgresA,5.287,P03384,5.287
P10154,postgresA,4.709,P03385,4.709
P10155,postgresC,0.55,P03385,0.55
P10156,postgresC,6.832,P03385,6.832
P10157,postgresB,4.04,P03386,4.04
P10158,postgresB,1.593,P03386,1.593
P10159,postgresB,9.183,P03386,9.183
P10160,postgresC,0.481,P03387,0.481
P10161,postgresA,2.28,P03387,2.28
P10162,postgresA,3.414,P03387,3.414
P10163,postgresB,5.005,P03388,5.005
P10164,postgresC,4.206,P03388,4.206
P10165,postgresA,9.901,P03388,9.901
P10166,postgresC,4.56,P03389,4.56
P10167,postgresC,7.241,P03389,7.241
P10168,postgresC,0.564,P03389,0.564
P10169,postgresA,5.55,P03390,5.55
P10170,postgresA,4.444,P03390,4.444
P10171,postgresC,3.481,P03390,3.481
P10172,postgresA,7.592,P03391,7.592
P10173,postgresB,3.939,P03391,3.939
P10174,postgresA,4.973,P03391,4.973
P10175,postgresB,4.077,P03392,4.077
P10176,postgresB,9.338,P03392,9.338
P10177,postgresA,1.838,P03392,1.838
P10178,postgresC,9.577,P03393,9.577
P10179,postgresC,2.173,P03393,2.173
P10180,postgresA,3.596,P03393,3.596
P10181,postgresA,6.517,P03394,6.517
P10182,postgresA,4.189,P03394,4.189
P10183,postgresB,3.422,P03394,3.422
P10184,postgresA,6.474,P03395,6.474
P10185,postgresA,0.857,P03395,0.857
P10186,postgresB,2.092,P03395,2.092
P10187,postgresB,4.385,P03396,4.385
P10188,postgresA,5.674,P03396,5.674
P10189,postgresC,3.608,P03396,3.608
P10190,postgresC,2.997,P03397,2.997
P10191,postgresA,1.849,P03397,1.849
P10192,postgresA,6.831,P03397,6.831
P10193,postgresA,7.519,P03398,7.519
P10194,postgresC,3.677,P03398,3.677
P10195,postgresC,6.878,P03398,6.878
P10196,postgresB,4.534,P03399,4.534
P10197,postgresA,6.207,P03399,6.207
P10198,postgresA,9.721,P03399,9.721
P10199,postgresA,2.012,P03400,2.012
P10200,postgresB,9.366,P03400,9.366
P10201,postgresC,1.038,P03400,1.038
P10202,postgresA,5.845,P03401,5.845
P10203,postgresA,4.445,P03401,4.445
P10204,postgresC,8.028,P03401,8.028
P10205,postgresC,0.206,P03402,0.206
P10206,postgresC,7.611,P03402,7.611
P10207,postgresB,9.357,P03402,9.357
P10208,postgresB,1.046,P03403,1.046
P10209,postgresC,8.525,P03403,8.525
P10210,postgresB,0.982,P03403,0.982
P10211,postgresB,5.606,P03404,5.606
P10212,postgresC,2.001,P03404,2.001
P10213,postgresB,0.682,P03404,0.682
P10214,postgresA,5.314,P03405,5.314
P10215,postgresC,1.25,P03405,1.25
P10216,postgresA,3.942,P03405,3.942
P10217,postgresA,8.23,P03406,8.23
P10218,postgresC,9.642,P03406,9.642
P10219,postgresA,3.097,P03406,3.097
P10220,postgresA,9.884,P03407,9.884
P10221,postgresC,3.394,P03407,3.394
P10222,postgresC,8.135,P03407,8.135
P10223,postgresA,7.695,P03408,7.695
P10224,postgresB,1.243,P03408,1.243
