partsid,datalink,parents_partsid
P02384,postgresA,P00795
P02385,postgresA,P00795
P02386,postgresA,P00795
P02387,postgresC,P00796
P02388,postgresC,P00796
P02389,postgresB,P00796
P02390,postgresA,P00797
P02391,postgresB,P00797
P02392,postgresB,P00797
P02393,postgresC,P00798
P02394,postgresB,P00798
P02395,postgresA,P00798
P02396,postgresB,P00799
P02397,postgresA,P00799
P02398,postgresA,P00799
P02399,postgresB,P00800
P02400,postgresA,P00800
P02401,postgresB,P00800
P02402,postgresA,P00801
P02403,postgresA,P00801
P02404,postgresB,P00801
P02405,postgresB,P00802
P02406,postgresB,P00802
P02407,postgresA,P00802
P02408,postgresC,P00803
P02409,postgresC,P00803
P02410,postgresA,P00803
P02411,postgresC,P00804
P02412,postgresC,P00804
P02413,postgresB,P00804
P02414,postgresC,P00805
P02415,postgresA,P00805
P02416,postgresA,P00805
P02417,postgresC,P00806
P02418,postgresA,P00806
P02419,postgresA,P00806
P02420,postgresC,P00807
P02421,postgresA,P00807
P02422,postgresB,P00807
P02423,postgresB,P00808
P02424,postgresC,P00808
P02425,postgresA,P00808
P02426,postgresB,P00809
P02427,postgresC,P00809
P02428,postgresA,P00809
P02429,postgresB,P00810
P02430,postgresA,P00810
P02431,postgresA,P00810
P02432,postgresC,P00811
P02433,postgresA,P00811
P02434,postgresC,P00811
P02435,postgresC,P00812
P02436,postgresA,P00812
P02437,postgresC,P00812
P02438,postgresA,P00813
P02439,postgresB,P00813
P02440,postgresB,P00813
P02441,postgresB,P00814
P02442,postgresB,P00814
P02443,postgresB,P00814
P02444,postgresB,P00815
P02445,postgresB,P00815
P02446,postgresA,P00815
P02447,postgresC,P00816
P02448,postgresC,P00816
P02449,postgresB,P00816
P02450,postgresC,P00817
P02451,postgresC,P00817
P02452,postgresA,P00817
P02453,postgresA,P00818
P02454,postgresC,P00818
P02455,postgresC,P00818
P02456,postgresA,P00819
P02457,postgresA,P00819
P02458,postgresB,P00819
P02459,postgresB,P00820
P02460,postgresC,P00820
P02461,postgresA,P00820
P02462,postgresA,P00821
P02463,postgresB,P00821
P02464,postgresA,P00821
P02465,postgresB,P00822
P02466,postgresC,P00822
P02467,postgresB,P00822
P02468,postgresB,P00823
P02469,postgresA,P00823
P02470,postgresB,P00823
P02471,postgresB,P00824
P02472,postgresA,P00824
P02473,postgresB,P00824
P02474,postgresA,P00825
P02475,postgresB,P00825
P02476,postgresB,P00825
P02477,postgresB,P00826
P02478,postgresC,P00826
P02479,postgresC,P00826
P02480,postgresC,P00827
P02481,postgresC,P00827
P02482,postgresC,P00827
P02483,postgresB,P00828
P02484,postgresA,P00828
P02485,postgresB,P00828
P02486,postgresB,P00829
P02487,postgresB,P00829
P02488,postgresA,P00829
P02489,postgresB,P00830
P02490,postgresB,P00830
P02491,postgresA,P00830
P02492,postgresB,P00831
P02493,postgresA,P00831
P02494,postgresC,P00831
P02495,postgresB,P00832
P02496,postgresC,P00832
P02497,postgresA,P00832
P02498,postgresB,P00833
P02499,postgresA,P00833
P02500,postgresA,P00833
P02501,postgresC,P00834
P02502,postgresC,P00834
P02503,postgresA,P00834
P02504,postgresA,P00835
P02505,postgresC,P00835
P02506,postgresC,P00835
P02507,postgresC,P00836
P02508,postgresC,P00836
P02509,postgresB,P00836
P02510,postgresC,P00837
P02511,postgresB,P00837
P02512,postgresB,P00837
P02513,postgresC,P00838
P02514,postgresA,P00838
P02515,postgresA,P00838
P02516,postgresC,P00839
P02517,postgresC,P00839
P02518,postgresC,P00839
P02519,postgresC,P00840
P02520,postgresC,P00840
P02521,postgresA,P00840
P02522,postgresB,P00841
P02523,postgresC,P00841
P02524,postgresC,P00841
P02525,postgresB,P00842
P02526,postgresB,P00842
P02527,postgresC,P00842
P02528,postgresC,P00843
P02529,postgresC,P00843
P02530,postgresC,P00843
P02531,postgresC,P00844
P02532,postgresC,P00844
P02533,postgresC,P00844
P02534,postgresB,P00845
P02535,postgresA,P00845
P02536,postgresA,P00845
P02537,postgresB,P00846
P02538,postgresC,P00846
P02539,postgresA,P00846
P02540,postgresA,P00847
P02541,postgresA,P00847
P02542,postgresB,P00847
P02543,postgresA,P00848
P02544,postgresC,P00848
P02545,postgresB,P00848
P02546,postgresB,P00849
P02547,postgresB,P00849
P02548,postgresA,P00849
P02549,postgresC,P00850
P02550,postgresB,P00850
P02551,postgresA,P00850
P02552,postgresA,P00851
P02553,postgresB,P00851
P02554,postgresC,P00851
P02555,postgresA,P00852
P02556,postgresC,P00852
P02557,postgresB,P00852
P02558,postgresA,P00853
P02559,postgresA,P00853
P02560,postgresA,P00853
P02561,postgresB,P00854
P02562,postgresA,P00854
P02563,postgresC,P00854
P02564,postgresC,P00855
P02565,postgresB,P00855
P02566,postgresC,P00855
P02567,postgresC,P00856
P02568,postgresB,P00856
P02569,postgresB,P00856
P02570,postgresC,P00857
P02571,postgresB,P00857
P02572,postgresC,P00857
P02573,postgresC,P00858
P02574,postgresA,P00858
P02575,postgresA,P00858
P02576,postgresB,P00859
P02577,postgresB,P00859
P02578,postgresA,P00859
P02579,postgresA,P00860
P02580,postgresA,P00860
P02581,postgresB,P00860
P02582,postgresB,P00861
P02583,postgresA,P00861
P02584,postgresC,P00861
P02585,postgresC,P00862
P02586,postgresC,P00862
P02587,postgresC,P00862
P02588,postgresC,P00863
P02589,postgresA,P00863
P02590,postgresA,P00863
P02591,postgresA,P00864
P02592,postgresC,P00864
P02593,postgresB,P00864
P02594,postgresB,P00865
P02595,postgresC,P00865
P02596,postgresC,P00865
P02597,postgresB,P00866
P02598,postgresB,P00866
P02599,postgresB,P00866
P02600,postgresC,P00867
P02601,postgresC,P00867
P02602,postgresB,P00867
P02603,postgresA,P00868
P02604,postgresB,P00868
P02605,postgresC,P00868
P02606,postgresA,P00869
P02607,postgresC,P00869
P02608,postgresC,P00869
P02609,postgresB,P00870
P02610,postgresC,P00870
P02611,postgresB,P00870
P02612,postgresA,P00871
P02613,postgresC,P00871
P02614,postgresB,P00871
P02615,postgresA,P00872
P02616,postgresC,P00872
P02617,postgresC,P00872
P02618,postgresA,P00873
P02619,postgresC,P00873
P02620,postgresB,P00873
P02621,postgresC,P00874
P02622,postgresA,P00874
P02623,postgresB,P00874
P02624,postgresA,P00875
P02625,postgresA,P00875
P02626,postgresA,P00875
P02627,postgresB,P00876
P02628,postgresA,P00876
P02629,postgresB,P00876
P02630,postgresC,P00877
P02631,postgresB,P00877
P02632,postgresC,P00877
P02633,postgresA,P00878
P02634,postgresC,P00878
P02635,postgresC,P00878
P02636,postgresB,P00879
P02637,postgresC,P00879
P02638,postgresB,P00879
P02639,postgresA,P00880
P02640,postgresA,P00880
P02641,postgresA,P00880
P02642,postgresC,P00881
P02643,postgresC,P00881
P02644,postgresA,P00881
P02645,postgresC,P00882
P02646,postgresC,P00882
P02647,postgresB,P00882
P02648,postgresA,P00883
P02649,postgresB,P00883
P02650,postgresB,P00883
P02651,postgresB,P00884
P02652,postgresB,P00884
P02653,postgresA,P00884
P02654,postgresC,P00885
P02655,postgresC,P00885
P02656,postgresA,P00885
P02657,postgresA,P00886
P02658,postgresA,P00886
P02659,postgresB,P00886
P02660,postgresA,P00887
P02661,postgresC,P00887
P02662,postgresB,P00887
P02663,postgresC,P00888
P02664,postgresB,P00888
P02665,postgresB,P00888
P02666,postgresC,P00889
P02667,postgresB,P00889
P02668,postgresB,P00889
P02669,postgresA,P00890
P02670,postgresA,P00890
P02671,postgresB,P00890
P02672,postgresB,P00891
P02673,postgresB,P00891
P02674,postgresC,P00891
P02675,postgresA,P00892
P02676,postgresC,P00892
P02677,postgresB,P00892
P02678,postgresB,P00893
P02679,postgresC,P00893
P02680,postgresC,P00893
P02681,postgresA,P00894
P02682,postgresC,P00894
P02683,postgresA,P00894
P02684,postgresC,P00895
P02685,postgresA,P00895
P02686,postgresB,P00895
P02687,postgresC,P00896
P02688,postgresA,P00896
P02689,postgresB,P00896
P02690,postgresA,P00897
P02691,postgresC,P00897
P02692,postgresB,P00897
P02693,postgresB,P00898
P02694,postgresA,P00898
P02695,postgresB,P00898
P02696,postgresC,P00899
P02697,postgresC,P00899
P02698,postgresB,P00899
P02699,postgresC,P00900
P02700,postgresB,P00900
P02701,postgresC,P00900
P02702,postgresA,P00901
P02703,postgresC,P00901
P02704,postgresC,P00901
P02705,postgresC,P00902
P02706,postgresA,P00902
P02707,postgresA,P00902
P02708,postgresA,P00903
P02709,postgresC,P00903
P02710,postgresB,P00903
P02711,postgresC,P00904
P02712,postgresC,P00904
P02713,postgresA,P00904
P02714,postgresA,P00905
P02715,postgresC,P00905
P02716,postgresB,P00905
P02717,postgresC,P00906
P02718,postgresC,P00906
P02719,postgresA,P00906
P02720,postgresC,P00907
P02721,postgresB,P00907
P02722,postgresB,P00907
P02723,postgresA,P00908
P02724,postgresA,P00908
P02725,postgresB,P00908
P02726,postgresB,P00909
P02727,postgresB,P00909
P02728,postgresA,P00909
P02729,postgresC,P00910
P02730,postgresB,P00910
P02731,postgresC,P00910
P02732,postgresA,P00911
P02733,postgresB,P00911
P02734,postgresA,P00911
P02735,postgresB,P00912
P02736,postgresA,P00912
P02737,postgresB,P00912
P02738,postgresC,P00913
P02739,postgresB,P00913
P02740,postgresC,P00913
P02741,postgresA,P00914
P02742,postgresB,P00914
P02743,postgresC,P00914
P02744,postgresC,P00915
P02745,postgresC,P00915
P02746,postgresA,P00915
P02747,postgresC,P00916
P02748,postgresA,P00916
P02749,postgresB,P00916
P02750,postgresB,P00917
P02751,postgresC,P00917
P02752,postgresB,P00917
P02753,postgresB,P00918
P02754,postgresC,P00918
P02755,postgresB,P00918
P02756,postgresA,P00919
P02757,postgresA,P00919
P02758,postgresC,P00919
P02759,postgresA,P00920
P02760,postgresA,P00920
P02761,postgresA,P00920
P02762,postgresA,P00921
P02763,postgresA,P00921
P02764,postgresC,P00921
P02765,postgresB,P00922
P02766,postgresB,P00922
P02767,postgresA,P00922
P02768,postgresA,P00923
P02769,postgresC,P00923
P02770,postgresA,P00923
P02771,postgresA,P00924
P02772,postgresB,P00924
P02773,postgresC,P00924
P02774,postgresC,P00925
P02775,postgresA,P00925
P02776,postgresB,P00925
P02777,postgresA,P00926
P02778,postgresC,P00926
P02779,postgresB,P00926
P02780,postgresC,P00927
P02781,postgresC,P00927
P02782,postgresB,P00927
P02783,postgresA,P00928
P02784,postgresA,P00928
P02785,postgresC,P00928
P02786,postgresA,P00929
P02787,postgresC,P00929
P02788,postgresC,P00929
P02789,postgresB,P00930
P02790,postgresA,P00930
P02791,postgresC,P00930
P02792,postgresB,P00931
P02793,postgresA,P00931
P02794,postgresB,P00931
P02795,postgresB,P00932
P02796,postgresC,P00932
P02797,postgresB,P00932
P02798,postgresB,P00933
P02799,postgresC,P00933
P02800,postgresB,P00933
P02801,postgresB,P00934
P02802,postgresC,P00934
P02803,postgresC,P00934
P02804,postgresA,P00935
P02805,postgresB,P00935
P02806,postgresC,P00935
P02807,postgresB,P00936
P02808,postgresC,P00936
P02809,postgresB,P00936
P02810,postgresA,P00937
P02811,postgresB,P00937
P02812,postgresC,P00937
P02813,postgresC,P00938
P02814,postgresA,P00938
P02815,postgresA,P00938
P02816,postgresC,P00939
P02817,postgresB,P00939
P02818,postgresB,P00939
P02819,postgresC,P00940
P02820,postgresB,P00940
P02821,postgresC,P00940
P02822,postgresC,P00941
P02823,postgresC,P00941
P02824,postgresA,P00941
P02825,postgresA,P00942
P02826,postgresB,P00942
P02827,postgresC,P00942
P02828,postgresB,P00943
P02829,postgresA,P00943
P02830,postgresA,P00943
P02831,postgresA,P00944
P02832,postgresB,P00944
P02833,postgresA,P00944
P02834,postgresC,P00945
P02835,postgresB,P00945
P02836,postgresC,P00945
P02837,postgresC,P00946
P02838,postgresA,P00946
P02839,postgresB,P00946
P02840,postgresB,P00947
P02841,postgresB,P00947
P02842,postgresB,P00947
P02843,postgresC,P00948
P02844,postgresA,P00948
P02845,postgresA,P00948
P02846,postgresA,P00949
P02847,postgresB,P00949
P02848,postgresA,P00949
P02849,postgresC,P00950
P02850,postgresA,P00950
P02851,postgresB,P00950
P02852,postgresA,P00951
P02853,postgresA,P00951
P02854,postgresB,P00951
P02855,postgresC,P00952
P02856,postgresA,P00952
P02857,postgresC,P00952
P02858,postgresC,P00953
P02859,postgresC,P00953
P02860,postgresC,P00953
P02861,postgresB,P00954
P02862,postgresC,P00954
P02863,postgresA,P00954
P02864,postgresB,P00955
P02865,postgresB,P00955
P02866,postgresC,P00955
P02867,postgresA,P00956
P02868,postgresA,P00956
P02869,postgresB,P00956
P02870,postgresC,P00957
P02871,postgresA,P00957
P02872,postgresC,P00957
P02873,postgresB,P00958
P02874,postgresB,P00958
P02875,postgresC,P00958
P02876,postgresB,P00959
P02877,postgresB,P00959
P02878,postgresA,P00959
P02879,postgresC,P00960
P02880,postgresC,P00960
P02881,postgresC,P00960
P02882,postgresA,P00961
P02883,postgresB,P00961
P02884,postgresC,P00961
P02885,postgresA,P00962
P02886,postgresB,P00962
P02887,postgresC,P00962
P02888,postgresB,P00963
P02889,postgresA,P00963
P02890,postgresA,P00963
P02891,postgresA,P00964
P02892,postgresC,P00964
P02893,postgresC,P00964
P02894,postgresC,P00965
P02895,postgresA,P00965
P02896,postgresA,P00965
P02897,postgresB,P00966
P02898,postgresC,P00966
P02899,postgresB,P00966
P02900,postgresB,P00967
P02901,postgresB,P00967
P02902,postgresA,P00967
P02903,postgresB,P00968
P02904,postgresC,P00968
P02905,postgresC,P00968
P02906,postgresA,P00969
P02907,postgresB,P00969
P02908,postgresC,P00969
P02909,postgresA,P00970
P02910,postgresB,P00970
P02911,postgresB,P00970
P02912,postgresB,P00971
P02913,postgresB,P00971
P02914,postgresA,P00971
P02915,postgresB,P00972
P02916,postgresC,P00972
P02917,postgresB,P00972
P02918,postgresC,P00973
P02919,postgresB,P00973
P02920,postgresB,P00973
P02921,postgresB,P00974
P02922,postgresB,P00974
P02923,postgresA,P00974
P02924,postgresC,P00975
P02925,postgresA,P00975
P02926,postgresB,P00975
P02927,postgresC,P00976
P02928,postgresC,P00976
P02929,postgresC,P00976
P02930,postgresA,P00977
P02931,postgresA,P00977
P02932,postgresB,P00977
P02933,postgresC,P00978
P02934,postgresB,P00978
P02935,postgresB,P00978
P02936,postgresB,P00979
P02937,postgresA,P00979
P02938,postgresC,P00979
P02939,postgresB,P00980
P02940,postgresB,P00980
P02941,postgresB,P00980
P02942,postgresB,P00981
P02943,postgresC,P00981
P02944,postgresA,P00981
P02945,postgresC,P00982
P02946,postgresC,P00982
P02947,postgresB,P00982
P02948,postgresB,P00983
P02949,postgresC,P00983
P02950,postgresA,P00983
P02951,postgresC,P00984
P02952,postgresB,P00984
P02953,postgresB,P00984
P02954,postgresB,P00985
P02955,postgresB,P00985
P02956,postgresB,P00985
P02957,postgresA,P00986
P02958,postgresA,P00986
P02959,postgresA,P00986
P02960,postgresB,P00987
P02961,postgresA,P00987
P02962,postgresA,P00987
P02963,postgresB,P00988
P02964,postgresC,P00988
P02965,postgresB,P00988
P02966,postgresB,P00989
P02967,postgresA,P00989
P02968,postgresB,P00989
P02969,postgresC,P00990
P02970,postgresC,P00990
P02971,postgresB,P00990
P02972,postgresC,P00991
P02973,postgresB,P00991
P02974,postgresC,P00991
P02975,postgresC,P00992
P02976,postgresA,P00992
P02977,postgresC,P00992
P02978,postgresB,P00993
P02979,postgresC,P00993
P02980,postgresB,P00993
P02981,postgresC,P00994
P02982,postgresC,P00994
P02983,postgresB,P00994
P02984,postgresC,P00995
P02985,postgresA,P00995
P02986,postgresA,P00995
P02987,postgresB,P00996
P02988,postgresA,P00996
P02989,postgresC,P00996
P02990,postgresC,P00997
P02991,postgresB,P00997
P02992,postgresB,P00997
P02993,postgresA,P00998
P02994,postgresB,P00998
P02995,postgresA,P00998
P02996,postgresA,P00999
P02997,postgresC,P00999
P02998,postgresB,P00999
P02999,postgresA,P01000
P03000,postgresA,P01000
P03001,postgresA,P01000
P03002,postgresA,P01001
P03003,postgresB,P01001
P03004,postgresB,P01001
P03005,postgresC,P01002
P03006,postgresB,P01002
P03007,postgresB,P01002
P03008,postgresB,P01003
P03009,postgresA,P01003
P03010,postgresA,P01003
P03011,postgresC,P01004
P03012,postgresA,P01004
P03013,postgresC,P01004
P03014,postgresC,P01005
P03015,postgresB,P01005
P03016,postgresA,P01005
P03017,postgresA,P01006
P03018,postgresA,P01006
P03019,postgresC,P01006
P03020,postgresB,P01007
P03021,postgresB,P01007
P03022,postgresB,P01007
P03023,postgresC,P01008
P03024,postgresA,P01008
P03025,postgresC,P01008
P03026,postgresB,P01009
P03027,postgresA,P01009
P03028,postgresC,P01009
P03029,postgresC,P01010
P03030,postgresC,P01010
P03031,postgresA,P01010
P03032,postgresC,P01011
P03033,postgresC,P01011
P03034,postgresC,P01011
P03035,postgresC,P01012
P03036,postgresB,P01012
P03037,postgresA,P01012
P03038,postgresB,P01013
P03039,postgresC,P01013
P03040,postgresA,P01013
P03041,postgresC,P01014
P03042,postgresB,P01014
P03043,postgresB,P01014
P03044,postgresC,P01015
P03045,postgresA,P01015
P03046,postgresB,P01015
P03047,postgresA,P01016
P03048,postgresA,P01016
P03049,postgresC,P01016
P03050,postgresC,P01017
P03051,postgresB,P01017
P03052,postgresA,P01017
P03053,postgresA,P01018
P03054,postgresA,P01018
P03055,postgresB,P01018
P03056,postgresA,P01019
P03057,postgresA,P01019
P03058,postgresB,P01019
P03059,postgresA,P01020
P03060,postgresA,P01020
P03061,postgresB,P01020
P03062,postgresB,P01021
P03063,postgresB,P01021
P03064,postgresC,P01021
P03065,postgresA,P01022
P03066,postgresA,P01022
P03067,postgresA,P01022
P03068,postgresB,P01023
P03069,postgresB,P01023
P03070,postgresC,P01023
P03071,postgresC,P01024
P03072,postgresB,P01024
P03073,postgresB,P01024
P03074,postgresC,P01025
P03075,postgresA,P01025
P03076,postgresA,P01025
P03077,postgresA,P01026
P03078,postgresA,P01026
P03079,postgresC,P01026
P03080,postgresC,P01027
P03081,postgresC,P01027
P03082,postgresC,P01027
P03083,postgresA,P01028
P03084,postgresA,P01028
P03085,postgresC,P01028
P03086,postgresC,P01029
P03087,postgresA,P01029
P03088,postgresC,P01029
P03089,postgresB,P01030
P03090,postgresC,P01030
P03091,postgresA,P01030
P03092,postgresB,P01031
P03093,postgresC,P01031
P03094,postgresB,P01031
P03095,postgresA,P01032
P03096,postgresB,P01032
P03097,postgresA,P01032
P03098,postgresC,P01033
P03099,postgresB,P01033
P03100,postgresC,P01033
P03101,postgresA,P01034
P03102,postgresB,P01034
P03103,postgresA,P01034
P03104,postgresA,P01035
P03105,postgresA,P01035
P03106,postgresC,P01035
P03107,postgresB,P01036
P03108,postgresB,P01036
P03109,postgresA,P01036
P03110,postgresC,P01037
P03111,postgresB,P01037
P03112,postgresA,P01037
P03113,postgresB,P01038
P03114,postgresA,P01038
P03115,postgresA,P01038
P03116,postgresC,P01039
P03117,postgresC,P01039
P03118,postgresB,P01039
P03119,postgresA,P01040
P03120,postgresA,P01040
P03121,postgresA,P01040
P03122,postgresC,P01041
P03123,postgresC,P01041
P03124,postgresC,P01041
P03125,postgresA,P01042
P03126,postgresA,P01042
P03127,postgresC,P01042
P03128,postgresA,P01043
P03129,postgresA,P01043
P03130,postgresC,P01043
P03131,postgresC,P01044
P03132,postgresC,P01044
P03133,postgresA,P01044
P03134,postgresB,P01045
P03135,postgresC,P01045
P03136,postgresB,P01045
P03137,postgresA,P01046
P03138,postgresC,P01046
P03139,postgresB,P01046
P03140,postgresC,P01047
P03141,postgresC,P01047
P03142,postgresB,P01047
P03143,postgresB,P01048
P03144,postgresB,P01048
P03145,postgresC,P01048
P03146,postgresB,P01049
P03147,postgresC,P01049
P03148,postgresC,P01049
P03149,postgresA,P01050
P03150,postgresA,P01050
P03151,postgresC,P01050
P03152,postgresB,P01051
P03153,postgresA,P01051
P03154,postgresC,P01051
P03155,postgresC,P01052
P03156,postgresC,P01052
P03157,postgresB,P01052
P03158,postgresC,P01053
P03159,postgresC,P01053
P03160,postgresC,P01053
P03161,postgresA,P01054
P03162,postgresA,P01054
P03163,postgresA,P01054
P03164,postgresC,P01055
P03165,postgresA,P01055
P03166,postgresB,P01055
P03167,postgresA,P01056
P03168,postgresA,P01056
P03169,postgresB,P01056
P03170,postgresA,P01057
P03171,postgresC,P01057
P03172,postgresB,P01057
P03173,postgresA,P01058
P03174,postgresA,P01058
P03175,postgresC,P01058
P03176,postgresB,P01059
P03177,postgresC,P01059
P03178,postgresA,P01059
P03179,postgresC,P01060
P03180,postgresB,P01060
P03181,postgresC,P01060
P03182,postgresC,P01061
P03183,postgresA,P01061
P03184,postgresB,P01061
P03185,postgresB,P01062
P03186,postgresC,P01062
P03187,postgresB,P01062
P03188,postgresB,P01063
P03189,postgresB,P01063
P03190,postgresB,P01063
P03191,postgresA,P01064
P03192,postgresB,P01064
P03193,postgresA,P01064
P03194,postgresB,P01065
P03195,postgresB,P01065
P03196,postgresC,P01065
P03197,postgresC,P01066
P03198,postgresC,P01066
P03199,postgresB,P01066
P03200,postgresA,P01067
P03201,postgresA,P01067
P03202,postgresA,P01067
P03203,postgresA,P01068
P03204,postgresC,P01068
P03205,postgresC,P01068
P03206,postgresC,P01069
P03207,postgresB,P01069
P03208,postgresA,P01069
P03209,postgresB,P01070
P03210,postgresA,P01070
P03211,postgresC,P01070
P03212,postgresB,P01071
P03213,postgresC,P01071
P03214,postgresC,P01071
P03215,postgresA,P01072
P03216,postgresA,P01072
P03217,postgresA,P01072
P03218,postgresA,P01073
P03219,postgresA,P01073
P03220,postgresC,P01073
P03221,postgresB,P01074
P03222,postgresA,P01074
P03223,postgresA,P01074
P03224,postgresA,P01075
P03225,postgresC,P01075
P03226,postgresC,P01075
P03227,postgresA,P01076
P03228,postgresA,P01076
P03229,postgresA,P01076
P03230,postgresC,P01077
P03231,postgresB,P01077
P03232,postgresB,P01077
P03233,postgresA,P01078
P03234,postgresB,P01078
P03235,postgresC,P01078
P03236,postgresB,P01079
P03237,postgresB,P01079
P03238,postgresB,P01079
P03239,postgresA,P01080
P03240,postgresB,P01080
P03241,postgresB,P01080
P03242,postgresC,P01081
P03243,postgresB,P01081
P03244,postgresC,P01081
P03245,postgresA,P01082
P03246,postgresB,P01082
P03247,postgresC,P01082
P03248,postgresB,P01083
P03249,postgresA,P01083
P03250,postgresB,P01083
P03251,postgresA,P01084
P03252,postgresC,P01084
P03253,postgresB,P01084
P03254,postgresC,P01085
P03255,postgresB,P01085
P03256,postgresA,P01085
P03257,postgresA,P01086
P03258,postgresB,P01086
P03259,postgresC,P01086
P03260,postgresB,P01087
P03261,postgresA,P01087
P03262,postgresC,P01087
P03263,postgresC,P01088
P03264,postgresB,P01088
P03265,postgresC,P01088
P03266,postgresA,P01089
P03267,postgresA,P01089
P03268,postgresC,P01089
P03269,postgresC,P01090
P03270,postgresB,P01090
P03271,postgresB,P01090
P03272,postgresA,P01091
P03273,postgresC,P01091
P03274,postgresC,P01091
P03275,postgresC,P01092
P03276,postgresA,P01092
P03277,postgresB,P01092
P03278,postgresA,P01093
P03279,postgresA,P01093
P03280,postgresC,P01093
P03281,postgresB,P01094
P03282,postgresA,P01094
P03283,postgresA,P01094
P03284,postgresC,P01095
P03285,postgresB,P01095
P03286,postgresA,P01095
P03287,postgresB,P01096
P03288,postgresA,P01096
P03289,postgresA,P01096
P03290,postgresB,P01097
P03291,postgresC,P01097
P03292,postgresB,P01097
P03293,postgresA,P01098
P03294,postgresC,P01098
P03295,postgresB,P01098
P03296,postgresC,P01099
P03297,postgresA,P01099
P03298,postgresC,P01099
P03299,postgresB,P01100
P03300,postgresB,P01100
P03301,postgresA,P01100
P03302,postgresB,P01101
P03303,postgresA,P01101
P03304,postgresC,P01101
P03305,postgresC,P01102
P03306,postgresA,P01102
P03307,postgresA,P01102
P03308,postgresB,P01103
P03309,postgresB,P01103
P03310,postgresB,P01103
P03311,postgresC,P01104
P03312,postgresB,P01104
P03313,postgresB,P01104
P03314,postgresA,P01105
P03315,postgresA,P01105
P03316,postgresB,P01105
P03317,postgresB,P01106
P03318,postgresA,P01106
P03319,postgresC,P01106
P03320,postgresB,P01107
P03321,postgresB,P01107
P03322,postgresC,P01107
P03323,postgresC,P01108
P03324,postgresA,P01108
P03325,postgresA,P01108
P03326,postgresB,P01109
P03327,postgresB,P01109
P03328,postgresA,P01109
P03329,postgresB,P01110
P03330,postgresB,P01110
P03331,postgresA,P01110
P03332,postgresC,P01111
P03333,postgresA,P01111
P03334,postgresC,P01111
P03335,postgresC,P01112
P03336,postgresA,P01112
P03337,postgresB,P01112
P03338,postgresA,P01113
P03339,postgresB,P01113
P03340,postgresA,P01113
P03341,postgresA,P01114
P03342,postgresB,P01114
P03343,postgresB,P01114
P03344,postgresC,P01115
P03345,postgresA,P01115
P03346,postgresB,P01115
P03347,postgresC,P01116
P03348,postgresB,P01116
P03349,postgresB,P01116
P03350,postgresC,P01117
P03351,postgresA,P01117
P03352,postgresC,P01117
P03353,postgresA,P01118
P03354,postgresB,P01118
P03355,postgresB,P01118
P03356,postgresB,P01119
P03357,postgresB,P01119
P03358,postgresC,P01119
P03359,postgresB,P01120
P03360,postgresA,P01120
P03361,postgresA,P01120
P03362,postgresB,P01121
P03363,postgresA,P01121
P03364,postgresB,P01121
P03365,postgresA,P01122
P03366,postgresC,P01122
P03367,postgresC,P01122
P03368,postgresC,P01123
P03369,postgresC,P01123
P03370,postgresA,P01123
P03371,postgresB,P01124
P03372,postgresB,P01124
P03373,postgresA,P01124
P03374,postgresC,P01125
P03375,postgresB,P01125
P03376,postgresA,P01125
P03377,postgresA,P01126
P03378,postgresA,P01126
P03379,postgresA,P01126
P03380,postgresA,P01127
P03381,postgresA,P01127
P03382,postgresA,P01127
P03383,postgresA,P01128
P03384,postgresB,P01128
P03385,postgresA,P01128
P03386,postgresB,P01129
P03387,postgresB,P01129
P03388,postgresA,P01129
P03389,postgresC,P01130
P03390,postgresA,P01130
P03391,postgresC,P01130
P03392,postgresA,P01131
P03393,postgresC,P01131
P03394,postgresB,P01131
P03395,postgresA,P01132
P03396,postgresB,P01132
P03397,postgresA,P01132
P03398,postgresC,P01133
P03399,postgresB,P01133
P03400,postgresB,P01133
P03401,postgresC,P01134
P03402,postgresA,P01134
P03403,postgresB,P01134
P03404,postgresB,P01135
P03405,postgresB,P01135
P03406,postgresC,P01135
P03407,postgresC,P01136
P03408,postgresB,P01136
P03409,postgresC,P01136
P03410,postgresC,P01137
P03411,postgresB,P01137
P03412,postgresA,P01137
P03413,postgresA,P01138
P03414,postgresA,P01138
P03415,postgresB,P01138
P03416,postgresC,P01139
P03417,postgresB,P01139
P03418,postgresB,P01139
P03419,postgresA,P01140
P03420,postgresA,P01140
P03421,postgresA,P01140
P03422,postgresB,P01141
P03423,postgresB,P01141
P03424,postgresA,P01141
P03425,postgresB,P01142
P03426,postgresC,P01142
P03427,postgresC,P01142
P03428,postgresA,P01143
P03429,postgresB,P01143
P03430,postgresA,P01143
P03431,postgresA,P01144
P03432,postgresA,P01144
P03433,postgresC,P01144
P03434,postgresC,P01145
P03435,postgresB,P01145
P03436,postgresC,P01145
P03437,postgresC,P01146
P03438,postgresB,P01146
P03439,postgresC,P01146
P03440,postgresA,P01147
P03441,postgresB,P01147
P03442,postgresC,P01147
P03443,postgresB,P01148
P03444,postgresC,P01148
P03445,postgresB,P01148
P03446,postgresB,P01149
P03447,postgresB,P01149
P03448,postgresC,P01149
P03449,postgresB,P01150
P03450,postgresC,P01150
P03451,postgresA,P01150
P03452,postgresB,P01151
P03453,postgresA,P01151
P03454,postgresB,P01151
P03455,postgresB,P01152
P03456,postgresC,P01152
P03457,postgresB,P01152
P03458,postgresC,P01153
