partsid,datalink,totalcfp,cfp,parents_partsid
P02121,postgresC,0.0,8.884,P00707
P02122,postgresA,0.0,0.001,P00707
P02123,postgresC,0.0,5.915,P00708
P02124,postgresB,0.0,7.771,P00708
P02125,postgresC,0.0,8.287,P00708
P02126,postgresA,0.0,0.868,P00709
P02127,postgresB,0.0,4.539,P00709
P02128,postgresB,0.0,9.152,P00709
P02129,postgresC,0.0,0.183,P00710
P02130,postgresB,0.0,0.166,P00710
P02131,postgresB,0.0,2.695,P00710
P02132,postgresC,0.0,0.83,P00711
P02133,postgresC,0.0,0.028,P00711
P02134,postgresA,0.0,0.434,P00711
P02135,postgresA,0.0,7.466,P00712
P02136,postgresC,0.0,0.313,P00712
P02137,postgresA,0.0,4.672,P00712
P02138,postgresB,0.0,6.432,P00713
P02139,postgresB,0.0,4.055,P00713
P02140,postgresB,0.0,3.22,P00713
P02141,postgresB,0.0,0.074,P00714
P02142,postgresA,0.0,8.437,P00714
P02143,postgresB,0.0,2.17,P00714
P02144,postgresB,0.0,4.749,P00715
P02145,postgresC,0.0,6.832,P00715
P02146,postgresB,0.0,4.08,P00715
P02147,postgresC,0.0,7.466,P00716
P02148,postgresC,0.0,1.97,P00716
P02149,postgresA,0.0,0.6,P00716
P02150,postgresB,0.0,5.868,P00717
P02151,postgresA,0.0,3.258,P00717
P02152,postgresC,0.0,6.945,P00717
P02153,postgresC,0.0,7.257,P00718
P02154,postgresB,0.0,5.432,P00718
P02155,postgresA,0.0,8.302,P00718
P02156,postgresC,0.0,9.043,P00719
P02157,postgresC,0.0,9.8,P00719
P02158,postgresC,0.0,1.565,P00719
P02159,postgresB,0.0,1.001,P00720
P02160,postgresA,0.0,9.551,P00720
P02161,postgresA,0.0,9.33,P00720
P02162,postgresA,0.0,3.339,P00721
P02163,postgresA,0.0,7.524,P00721
P02164,postgresA,0.0,6.351,P00721
P02165,postgresC,0.0,7.293,P00722
P02166,postgresA,0.0,7.215,P00722
P02167,postgresC,0.0,5.574,P00722
P02168,postgresA,0.0,2.779,P00723
P02169,postgresC,0.0,7.533,P00723
P02170,postgresA,0.0,2.418,P00723
P02171,postgresB,0.0,7.998,P00724
P02172,postgresB,0.0,5.658,P00724
P02173,postgresA,0.0,0.984,P00724
P02174,postgresC,0.0,5.262,P00725
P02175,postgresB,0.0,5.166,P00725
P02176,postgresC,0.0,7.783,P00725
P02177,postgresA,0.0,8.953,P00726
P02178,postgresB,0.0,0.004,P00726
P02179,postgresA,0.0,3.622,P00726
P02180,postgresC,0.0,4.018,P00727
P02181,postgresB,0.0,6.991,P00727
P02182,postgresB,0.0,3.62,P00727
P02183,postgresB,0.0,3.945,P00728
P02184,postgresB,0.0,0.279,P00728
P02185,postgresA,0.0,6.648,P00728
P02186,postgresA,0.0,3.515,P00729
P02187,postgresC,0.0,9.291,P00729
P02188,postgresB,0.0,1.569,P00729
P02189,postgresB,0.0,6.012,P00730
P02190,postgresA,0.0,2.743,P00730
P02191,postgresA,0.0,6.948,P00730
P02192,postgresA,0.0,8.863,P00731
P02193,postgresC,0.0,2.504,P00731
P02194,postgresA,0.0,0.541,P00731
P02195,postgresB,0.0,8.05,P00732
P02196,postgresB,0.0,0.804,P00732
P02197,postgresB,0.0,1.437,P00732
P02198,postgresA,0.0,6.537,P00733
P02199,postgresC,0.0,4.929,P00733
P02200,postgresA,0.0,2.54,P00733
P02201,postgresC,0.0,8.394,P00734
P02202,postgresC,0.0,1.032,P00734
P02203,postgresC,0.0,8.142,P00734
P02204,postgresA,0.0,2.121,P00735
P02205,postgresB,0.0,3.166,P00735
P02206,postgresC,0.0,4.98,P00735
P02207,postgresB,0.0,2.764,P00736
P02208,postgresA,0.0,8.829,P00736
P02209,postgresC,0.0,0.301,P00736
P02210,postgresB,0.0,0.739,P00737
P02211,postgresC,0.0,7.353,P00737
P02212,postgresA,0.0,7.887,P00737
P02213,postgresA,0.0,6.353,P00738
P02214,postgresB,0.0,8.337,P00738
P02215,postgresC,0.0,0.203,P00738
P02216,postgresA,0.0,3.072,P00739
P02217,postgresA,0.0,1.801,P00739
P02218,postgresB,0.0,9.109,P00739
P02219,postgresA,0.0,6.485,P00740
P02220,postgresB,0.0,5.004,P00740
P02221,postgresB,0.0,9.876,P00740
P02222,postgresB,0.0,2.257,P00741
P02223,postgresA,0.0,1.089,P00741
P02224,postgresC,0.0,2.414,P00741
P02225,postgresC,0.0,7.91,P00742
P02226,postgresB,0.0,8.53,P00742
P02227,postgresB,0.0,3.5,P00742
P02228,postgresA,0.0,4.444,P00743
P02229,postgresC,0.0,2.077,P00743
P02230,postgresB,0.0,6.101,P00743
P02231,postgresC,0.0,1.859,P00744
P02232,postgresA,0.0,0.072,P00744
P02233,postgresB,0.0,0.691,P00744
P02234,postgresC,0.0,7.228,P00745
P02235,postgresA,0.0,7.048,P00745
P02236,postgresA,0.0,2.656,P00745
P02237,postgresB,0.0,7.792,P00746
P02238,postgresC,0.0,0.154,P00746
P02239,postgresC,0.0,3.195,P00746
P02240,postgresA,0.0,5.898,P00747
P02241,postgresB,0.0,9.861,P00747
P02242,postgresB,0.0,1.723,P00747
P02243,postgresB,0.0,5.949,P00748
P02244,postgresA,0.0,0.763,P00748
P02245,postgresB,0.0,9.173,P00748
P02246,postgresC,0.0,8.847,P00749
P02247,postgresB,0.0,3.696,P00749
P02248,postgresA,0.0,5.031,P00749
P02249,postgresA,0.0,7.699,P00750
P02250,postgresA,0.0,4.732,P00750
P02251,postgresB,0.0,6.217,P00750
P02252,postgresC,0.0,8.836,P00751
P02253,postgresC,0.0,0.073,P00751
P02254,postgresC,0.0,8.042,P00751
P02255,postgresB,0.0,6.43,P00752
P02256,postgresA,0.0,4.39,P00752
P02257,postgresB,0.0,0.412,P00752
P02258,postgresC,0.0,9.312,P00753
P02259,postgresC,0.0,2.047,P00753
P02260,postgresA,0.0,3.834,P00753
P02261,postgresB,0.0,6.587,P00754
P02262,postgresB,0.0,9.429,P00754
P02263,postgresC,0.0,4.004,P00754
P02264,postgresB,0.0,1.176,P00755
P02265,postgresB,0.0,9.222,P00755
P02266,postgresC,0.0,1.39,P00755
P02267,postgresB,0.0,7.524,P00756
P02268,postgresA,0.0,1.832,P00756
P02269,postgresA,0.0,9.737,P00756
P02270,postgresA,0.0,3.387,P00757
P02271,postgresA,0.0,4.632,P00757
P02272,postgresA,0.0,1.46,P00757
P02273,postgresA,0.0,9.013,P00758
P02274,postgresC,0.0,4.915,P00758
P02275,postgresC,0.0,8.901,P00758
P02276,postgresB,0.0,9.075,P00759
P02277,postgresB,0.0,8.082,P00759
P02278,postgresC,0.0,9.975,P00759
P02279,postgresC,0.0,8.469,P00760
P02280,postgresC,0.0,1.722,P00760
P02281,postgresB,0.0,5.827,P00760
P02282,postgresA,0.0,1.385,P00761
P02283,postgresB,0.0,4.867,P00761
P02284,postgresA,0.0,9.682,P00761
P02285,postgresA,0.0,4.722,P00762
P02286,postgresB,0.0,7.256,P00762
P02287,postgresB,0.0,8.465,P00762
P02288,postgresB,0.0,2.523,P00763
P02289,postgresB,0.0,1.211,P00763
P02290,postgresA,0.0,5.079,P00763
P02291,postgresB,0.0,0.791,P00764
P02292,postgresC,0.0,3.693,P00764
P02293,postgresA,0.0,8.561,P00764
P02294,postgresC,0.0,4.628,P00765
P02295,postgresB,0.0,0.669,P00765
P02296,postgresC,0.0,2.8,P00765
P02297,postgresB,0.0,1.691,P00766
P02298,postgresA,0.0,8.233,P00766
P02299,postgresC,0.0,7.969,P00766
P02300,postgresB,0.0,1.45,P00767
P02301,postgresB,0.0,5.898,P00767
P02302,postgresA,0.0,8.103,P00767
P02303,postgresB,0.0,0.641,P00768
P02304,postgresB,0.0,9.606,P00768
P02305,postgresA,0.0,7.197,P00768
P02306,postgresB,0.0,7.457,P00769
P02307,postgresC,0.0,6.884,P00769
P02308,postgresC,0.0,0.881,P00769
P02309,postgresC,0.0,3.796,P00770
P02310,postgresA,0.0,8.433,P00770
P02311,postgresA,0.0,2.345,P00770
P02312,postgresA,0.0,1.717,P00771
P02313,postgresB,0.0,6.275,P00771
P02314,postgresB,0.0,8.978,P00771
P02315,postgresC,0.0,3.234,P00772
P02316,postgresC,0.0,3.08,P00772
P02317,postgresA,0.0,9.478,P00772
P02318,postgresC,0.0,8.123,P00773
P02319,postgresC,0.0,5.432,P00773
P02320,postgresB,0.0,1.174,P00773
P02321,postgresC,0.0,1.908,P00774
P02322,postgresC,0.0,5.647,P00774
P02323,postgresA,0.0,7.868,P00774
P02324,postgresC,0.0,8.662,P00775
P02325,postgresB,0.0,1.713,P00775
P02326,postgresA,0.0,2.559,P00775
P02327,postgresC,0.0,7.775,P00776
P02328,postgresA,0.0,9.175,P00776
P02329,postgresC,0.0,9.941,P00776
P02330,postgresC,0.0,3.702,P00777
P02331,postgresB,0.0,9.376,P00777
P02332,postgresB,0.0,8.599,P00777
P02333,postgresA,0.0,2.796,P00778
P02334,postgresA,0.0,2.715,P00778
P02335,postgresB,0.0,3.285,P00778
P02336,postgresB,0.0,2.223,P00779
P02337,postgresC,0.0,0.46,P00779
P02338,postgresB,0.0,6.402,P00779
P02339,postgresC,0.0,4.217,P00780
P02340,postgresC,0.0,6.234,P00780
P02341,postgresB,0.0,7.984,P00780
P02342,postgresC,0.0,3.273,P00781
P02343,postgresB,0.0,2.887,P00781
P02344,postgresC,0.0,3.385,P00781
P02345,postgresB,0.0,0.659,P00782
P02346,postgresA,0.0,5.093,P00782
P02347,postgresC,0.0,1.027,P00782
P02348,postgresA,0.0,2.422,P00783
P02349,postgresC,0.0,3.768,P00783
P02350,postgresA,0.0,6.605,P00783
P02351,postgresC,0.0,1.523,P00784
P02352,postgresB,0.0,0.314,P00784
P02353,postgresC,0.0,5.979,P00784
P02354,postgresB,0.0,2.038,P00785
P02355,postgresB,0.0,6.022,P00785
P02356,postgresC,0.0,4.849,P00785
P02357,postgresC,0.0,9.808,P00786
P02358,postgresB,0.0,6.934,P00786
P02359,postgresB,0.0,5.117,P00786
P02360,postgresA,0.0,3.822,P00787
P02361,postgresC,0.0,0.071,P00787
P02362,postgresC,0.0,8.28,P00787
P02363,postgresC,0.0,8.306,P00788
P02364,postgresC,0.0,9.416,P00788
P02365,postgresB,0.0,6.963,P00788
P02366,postgresB,0.0,7.872,P00789
P02367,postgresC,0.0,3.798,P00789
P02368,postgresB,0.0,7.409,P00789
P02369,postgresB,0.0,6.166,P00790
P02370,postgresA,0.0,1.625,P00790
P02371,postgresC,0.0,1.133,P00790
P02372,postgresC,0.0,0.75,P00791
P02373,postgresB,0.0,3.367,P00791
P02374,postgresA,0.0,9.245,P00791
P02375,postgresC,0.0,2.374,P00792
P02376,postgresC,0.0,8.176,P00792
P02377,postgresC,0.0,0.316,P00792
P02378,postgresC,0.0,8.175,P00793
P02379,postgresB,0.0,0.88,P00793
P02380,postgresC,0.0,5.662,P00793
P02381,postgresA,0.0,4.478,P00794
P02382,postgresA,0.0,0.919,P00794
P02383,postgresA,0.0,4.701,P00794
P02384,postgresA,0.0,5.171,P00795
P02385,postgresA,0.0,1.937,P00795
P02386,postgresA,0.0,7.2,P00795
P02387,postgresC,0.0,6.057,P00796
P02388,postgresC,0.0,6.646,P00796
P02389,postgresB,0.0,7.692,P00796
P02390,postgresA,0.0,4.773,P00797
P02391,postgresB,0.0,7.677,P00797
P02392,postgresB,0.0,9.86,P00797
P02393,postgresC,0.0,8.236,P00798
P02394,postgresB,0.0,2.685,P00798
P02395,postgresA,0.0,2.51,P00798
P02396,postgresB,0.0,5.632,P00799
P02397,postgresA,0.0,4.526,P00799
P02398,postgresA,0.0,8.283,P00799
P02399,postgresB,0.0,1.026,P00800
P02400,postgresA,0.0,2.939,P00800
P02401,postgresB,0.0,7.254,P00800
P02402,postgresA,0.0,0.271,P00801
P02403,postgresA,0.0,5.196,P00801
P02404,postgresB,0.0,2.99,P00801
P02405,postgresB,0.0,0.6,P00802
P02406,postgresB,0.0,3.483,P00802
P02407,postgresA,0.0,4.144,P00802
P02408,postgresC,0.0,5.161,P00803
P02409,postgresC,0.0,3.14,P00803
P02410,postgresA,0.0,7.824,P00803
P02411,postgresC,0.0,4.905,P00804
P02412,postgresC,0.0,7.048,P00804
P02413,postgresB,0.0,6.084,P00804
P02414,postgresC,0.0,2.08,P00805
P02415,postgresA,0.0,7.814,P00805
P02416,postgresA,0.0,6.452,P00805
P02417,postgresC,0.0,1.758,P00806
P02418,postgresA,0.0,8.541,P00806
P02419,postgresA,0.0,3.106,P00806
P02420,postgresC,0.0,6.199,P00807
P02421,postgresA,0.0,2.445,P00807
P02422,postgresB,0.0,1.469,P00807
P02423,postgresB,0.0,4.971,P00808
P02424,postgresC,0.0,8.509,P00808
P02425,postgresA,0.0,6.562,P00808
P02426,postgresB,0.0,1.519,P00809
P02427,postgresC,0.0,0.526,P00809
P02428,postgresA,0.0,7.852,P00809
P02429,postgresB,0.0,1.112,P00810
P02430,postgresA,0.0,3.212,P00810
P02431,postgresA,0.0,8.144,P00810
P02432,postgresC,0.0,9.265,P00811
P02433,postgresA,0.0,6.331,P00811
P02434,postgresC,0.0,5.077,P00811
P02435,postgresC,0.0,5.079,P00812
P02436,postgresA,0.0,2.4,P00812
P02437,postgresC,0.0,6.973,P00812
P02438,postgresA,0.0,2.61,P00813
P02439,postgresB,0.0,2.979,P00813
P02440,postgresB,0.0,5.685,P00813
P02441,postgresB,0.0,2.402,P00814
P02442,postgresB,0.0,8.729,P00814
P02443,postgresB,0.0,7.024,P00814
P02444,postgresB,0.0,4.685,P00815
P02445,postgresB,0.0,6.523,P00815
P02446,postgresA,0.0,2.151,P00815
P02447,postgresC,0.0,2.268,P00816
P02448,postgresC,0.0,0.098,P00816
P02449,postgresB,0.0,3.194,P00816
P02450,postgresC,0.0,6.315,P00817
P02451,postgresC,0.0,5.236,P00817
P02452,postgresA,0.0,4.116,P00817
P02453,postgresA,0.0,0.902,P00818
P02454,postgresC,0.0,8.066,P00818
P02455,postgresC,0.0,0.441,P00818
P02456,postgresA,0.0,7.53,P00819
P02457,postgresA,0.0,9.051,P00819
P02458,postgresB,0.0,3.381,P00819
P02459,postgresB,0.0,7.169,P00820
P02460,postgresC,0.0,5.967,P00820
P02461,postgresA,0.0,5.691,P00820
P02462,postgresA,0.0,0.689,P00821
P02463,postgresB,0.0,3.327,P00821
P02464,postgresA,0.0,3.634,P00821
P02465,postgresB,0.0,5.217,P00822
P02466,postgresC,0.0,5.022,P00822
P02467,postgresB,0.0,9.227,P00822
P02468,postgresB,0.0,3.708,P00823
P02469,postgresA,0.0,7.741,P00823
P02470,postgresB,0.0,0.038,P00823
P02471,postgresB,0.0,5.253,P00824
P02472,postgresA,0.0,7.383,P00824
P02473,postgresB,0.0,5.027,P00824
P02474,postgresA,0.0,2.513,P00825
P02475,postgresB,0.0,3.137,P00825
P02476,postgresB,0.0,3.521,P00825
P02477,postgresB,0.0,2.418,P00826
P02478,postgresC,0.0,7.374,P00826
P02479,postgresC,0.0,4.712,P00826
P02480,postgresC,0.0,2.95,P00827
P02481,postgresC,0.0,8.617,P00827
P02482,postgresC,0.0,6.968,P00827
P02483,postgresB,0.0,6.216,P00828
P02484,postgresA,0.0,9.873,P00828
P02485,postgresB,0.0,2.19,P00828
P02486,postgresB,0.0,8.097,P00829
P02487,postgresB,0.0,3.328,P00829
P02488,postgresA,0.0,7.38,P00829
P02489,postgresB,0.0,7.169,P00830
P02490,postgresB,0.0,1.309,P00830
P02491,postgresA,0.0,1.259,P00830
P02492,postgresB,0.0,0.578,P00831
P02493,postgresA,0.0,2.333,P00831
P02494,postgresC,0.0,8.09,P00831
P02495,postgresB,0.0,1.348,P00832
P02496,postgresC,0.0,7.737,P00832
P02497,postgresA,0.0,3.37,P00832
P02498,postgresB,0.0,2.275,P00833
P02499,postgresA,0.0,2.106,P00833
P02500,postgresA,0.0,0.598,P00833
P02501,postgresC,0.0,1.107,P00834
P02502,postgresC,0.0,7.836,P00834
P02503,postgresA,0.0,0.106,P00834
P02504,postgresA,0.0,9.729,P00835
P02505,postgresC,0.0,4.124,P00835
P02506,postgresC,0.0,1.097,P00835
P02507,postgresC,0.0,7.811,P00836
P02508,postgresC,0.0,6.497,P00836
P02509,postgresB,0.0,3.511,P00836
P02510,postgresC,0.0,5.249,P00837
P02511,postgresB,0.0,9.666,P00837
P02512,postgresB,0.0,5.357,P00837
P02513,postgresC,0.0,6.777,P00838
P02514,postgresA,0.0,5.443,P00838
P02515,postgresA,0.0,1.132,P00838
P02516,postgresC,0.0,1.437,P00839
P02517,postgresC,0.0,4.082,P00839
P02518,postgresC,0.0,3.707,P00839
P02519,postgresC,0.0,8.661,P00840
P02520,postgresC,0.0,3.645,P00840
P02521,postgresA,0.0,1.544,P00840
P02522,postgresB,0.0,8.191,P00841
P02523,postgresC,0.0,0.694,P00841
P02524,postgresC,0.0,1.791,P00841
P02525,postgresB,0.0,2.95,P00842
P02526,postgresB,0.0,8.479,P00842
P02527,postgresC,0.0,9.716,P00842
P02528,postgresC,0.0,8.142,P00843
P02529,postgresC,0.0,1.361,P00843
P02530,postgresC,0.0,8.247,P00843
P02531,postgresC,0.0,9.114,P00844
P02532,postgresC,0.0,9.414,P00844
P02533,postgresC,0.0,2.485,P00844
P02534,postgresB,0.0,1.705,P00845
P02535,postgresA,0.0,4.284,P00845
P02536,postgresA,0.0,5.085,P00845
P02537,postgresB,0.0,8.248,P00846
P02538,postgresC,0.0,7.509,P00846
P02539,postgresA,0.0,6.995,P00846
P02540,postgresA,0.0,5.593,P00847
P02541,postgresA,0.0,5.454,P00847
P02542,postgresB,0.0,6.639,P00847
P02543,postgresA,0.0,2.18,P00848
P02544,postgresC,0.0,3.062,P00848
P02545,postgresB,0.0,4.376,P00848
P02546,postgresB,0.0,5.195,P00849
P02547,postgresB,0.0,1.855,P00849
P02548,postgresA,0.0,2.131,P00849
P02549,postgresC,0.0,4.985,P00850
P02550,postgresB,0.0,5.747,P00850
P02551,postgresA,0.0,4.365,P00850
P02552,postgresA,0.0,1.048,P00851
P02553,postgresB,0.0,5.411,P00851
P02554,postgresC,0.0,3.827,P00851
P02555,postgresA,0.0,5.6,P00852
P02556,postgresC,0.0,6.325,P00852
P02557,postgresB,0.0,3.901,P00852
P02558,postgresA,0.0,9.406,P00853
P02559,postgresA,0.0,2.38,P00853
P02560,postgresA,0.0,2.016,P00853
P02561,postgresB,0.0,7.062,P00854
P02562,postgresA,0.0,5.358,P00854
P02563,postgresC,0.0,1.782,P00854
P02564,postgresC,0.0,3.565,P00855
P02565,postgresB,0.0,4.065,P00855
P02566,postgresC,0.0,4.865,P00855
P02567,postgresC,0.0,6.482,P00856
P02568,postgresB,0.0,2.276,P00856
P02569,postgresB,0.0,9.144,P00856
P02570,postgresC,0.0,7.142,P00857
P02571,postgresB,0.0,1.77,P00857
P02572,postgresC,0.0,9.447,P00857
P02573,postgresC,0.0,0.472,P00858
P02574,postgresA,0.0,0.618,P00858
P02575,postgresA,0.0,7.295,P00858
P02576,postgresB,0.0,9.429,P00859
P02577,postgresB,0.0,7.996,P00859
P02578,postgresA,0.0,1.937,P00859
P02579,postgresA,0.0,6.467,P00860
P02580,postgresA,0.0,9.632,P00860
P02581,postgresB,0.0,8.425,P00860
P02582,postgresB,0.0,9.793,P00861
P02583,postgresA,0.0,0.564,P00861
P02584,postgresC,0.0,7.161,P00861
P02585,postgresC,0.0,3.689,P00862
P02586,postgresC,0.0,6.228,P00862
P02587,postgresC,0.0,9.021,P00862
P02588,postgresC,0.0,2.755,P00863
P02589,postgresA,0.0,6.892,P00863
P02590,postgresA,0.0,3.455,P00863
P02591,postgresA,0.0,3.348,P00864
P02592,postgresC,0.0,8.539,P00864
P02593,postgresB,0.0,4.279,P00864
P02594,postgresB,0.0,7.236,P00865
P02595,postgresC,0.0,0.926,P00865
P02596,postgresC,0.0,5.324,P00865
P02597,postgresB,0.0,9.73,P00866
P02598,postgresB,0.0,9.068,P00866
P02599,postgresB,0.0,2.946,P00866
P02600,postgresC,0.0,5.083,P00867
P02601,postgresC,0.0,1.949,P00867
P02602,postgresB,0.0,8.977,P00867
P02603,postgresA,0.0,4.725,P00868
P02604,postgresB,0.0,7.645,P00868
P02605,postgresC,0.0,7.739,P00868
P02606,postgresA,0.0,7.953,P00869
P02607,postgresC,0.0,0.724,P00869
P02608,postgresC,0.0,6.727,P00869
P02609,postgresB,0.0,9.1,P00870
P02610,postgresC,0.0,3.973,P00870
P02611,postgresB,0.0,3.889,P00870
P02612,postgresA,0.0,8.631,P00871
P02613,postgresC,0.0,0.086,P00871
P02614,postgresB,0.0,8.948,P00871
P02615,postgresA,0.0,5.398,P00872
P02616,postgresC,0.0,0.341,P00872
P02617,postgresC,0.0,8.713,P00872
P02618,postgresA,0.0,2.35,P00873
P02619,postgresC,0.0,8.137,P00873
P02620,postgresB,0.0,6.506,P00873
P02621,postgresC,0.0,5.155,P00874
P02622,postgresA,0.0,0.619,P00874
P02623,postgresB,0.0,2.718,P00874
P02624,postgresA,0.0,0.484,P00875
P02625,postgresA,0.0,7.7,P00875
P02626,postgresA,0.0,9.801,P00875
P02627,postgresB,0.0,7.859,P00876
P02628,postgresA,0.0,5.041,P00876
P02629,postgresB,0.0,3.948,P00876
P02630,postgresC,0.0,4.679,P00877
P02631,postgresB,0.0,7.215,P00877
P02632,postgresC,0.0,0.507,P00877
P02633,postgresA,0.0,4.351,P00878
P02634,postgresC,0.0,9.962,P00878
P02635,postgresC,0.0,6.075,P00878
P02636,postgresB,0.0,0.828,P00879
P02637,postgresC,0.0,6.383,P00879
P02638,postgresB,0.0,4.906,P00879
P02639,postgresA,0.0,6.831,P00880
P02640,postgresA,0.0,9.876,P00880
P02641,postgresA,0.0,1.424,P00880
P02642,postgresC,0.0,2.511,P00881
P02643,postgresC,0.0,1.052,P00881
P02644,postgresA,0.0,3.207,P00881
P02645,postgresC,0.0,7.717,P00882
P02646,postgresC,0.0,2.285,P00882
P02647,postgresB,0.0,3.645,P00882
P02648,postgresA,0.0,9.61,P00883
P02649,postgresB,0.0,4.856,P00883
P02650,postgresB,0.0,1.001,P00883
P02651,postgresB,0.0,8.709,P00884
P02652,postgresB,0.0,2.656,P00884
P02653,postgresA,0.0,8.723,P00884
P02654,postgresC,0.0,6.723,P00885
P02655,postgresC,0.0,0.266,P00885
P02656,postgresA,0.0,4.475,P00885
P02657,postgresA,0.0,7.634,P00886
P02658,postgresA,0.0,6.757,P00886
P02659,postgresB,0.0,1.951,P00886
P02660,postgresA,0.0,3.547,P00887
P02661,postgresC,0.0,8.205,P00887
P02662,postgresB,0.0,3.989,P00887
P02663,postgresC,0.0,2.287,P00888
P02664,postgresB,0.0,2.192,P00888
P02665,postgresB,0.0,6.459,P00888
P02666,postgresC,0.0,9.225,P00889
P02667,postgresB,0.0,8.045,P00889
P02668,postgresB,0.0,4.841,P00889
P02669,postgresA,0.0,4.142,P00890
P02670,postgresA,0.0,7.669,P00890
P02671,postgresB,0.0,3.537,P00890
P02672,postgresB,0.0,0.178,P00891
P02673,postgresB,0.0,4.124,P00891
P02674,postgresC,0.0,5.801,P00891
P02675,postgresA,0.0,2.684,P00892
P02676,postgresC,0.0,8.325,P00892
P02677,postgresB,0.0,2.559,P00892
P02678,postgresB,0.0,1.996,P00893
P02679,postgresC,0.0,3.118,P00893
P02680,postgresC,0.0,8.174,P00893
P02681,postgresA,0.0,1.539,P00894
P02682,postgresC,0.0,0.256,P00894
P02683,postgresA,0.0,2.284,P00894
P02684,postgresC,0.0,8.127,P00895
P02685,postgresA,0.0,8.935,P00895
P02686,postgresB,0.0,4.744,P00895
P02687,postgresC,0.0,2.9,P00896
P02688,postgresA,0.0,8.093,P00896
P02689,postgresB,0.0,0.831,P00896
P02690,postgresA,0.0,5.023,P00897
P02691,postgresC,0.0,7.267,P00897
P02692,postgresB,0.0,3.758,P00897
P02693,postgresB,0.0,9.345,P00898
P02694,postgresA,0.0,3.617,P00898
P02695,postgresB,0.0,7.545,P00898
P02696,postgresC,0.0,0.239,P00899
P02697,postgresC,0.0,6.578,P00899
P02698,postgresB,0.0,3.633,P00899
P02699,postgresC,0.0,4.364,P00900
P02700,postgresB,0.0,9.907,P00900
P02701,postgresC,0.0,8.234,P00900
P02702,postgresA,0.0,2.011,P00901
P02703,postgresC,0.0,4.104,P00901
P02704,postgresC,0.0,0.522,P00901
P02705,postgresC,0.0,8.78,P00902
P02706,postgresA,0.0,5.249,P00902
P02707,postgresA,0.0,9.885,P00902
P02708,postgresA,0.0,5.53,P00903
P02709,postgresC,0.0,9.554,P00903
P02710,postgresB,0.0,6.986,P00903
P02711,postgresC,0.0,9.716,P00904
P02712,postgresC,0.0,8.529,P00904
P02713,postgresA,0.0,6.253,P00904
P02714,postgresA,0.0,9.962,P00905
P02715,postgresC,0.0,3.031,P00905
P02716,postgresB,0.0,9.638,P00905
P02717,postgresC,0.0,3.015,P00906
P02718,postgresC,0.0,0.192,P00906
P02719,postgresA,0.0,9.037,P00906
P02720,postgresC,0.0,6.231,P00907
P02721,postgresB,0.0,3.609,P00907
P02722,postgresB,0.0,8.765,P00907
P02723,postgresA,0.0,5.127,P00908
P02724,postgresA,0.0,5.325,P00908
P02725,postgresB,0.0,1.172,P00908
P02726,postgresB,0.0,6.443,P00909
P02727,postgresB,0.0,9.007,P00909
P02728,postgresA,0.0,5.055,P00909
P02729,postgresC,0.0,2.042,P00910
P02730,postgresB,0.0,6.398,P00910
P02731,postgresC,0.0,2.864,P00910
P02732,postgresA,0.0,2.018,P00911
P02733,postgresB,0.0,4.199,P00911
P02734,postgresA,0.0,6.733,P00911
P02735,postgresB,0.0,7.039,P00912
P02736,postgresA,0.0,6.602,P00912
P02737,postgresB,0.0,0.47,P00912
P02738,postgresC,0.0,2.284,P00913
P02739,postgresB,0.0,6.642,P00913
P02740,postgresC,0.0,8.906,P00913
P02741,postgresA,0.0,6.903,P00914
P02742,postgresB,0.0,9.11,P00914
P02743,postgresC,0.0,5.921,P00914
P02744,postgresC,0.0,7.914,P00915
P02745,postgresC,0.0,4.509,P00915
P02746,postgresA,0.0,9.766,P00915
P02747,postgresC,0.0,8.832,P00916
P02748,postgresA,0.0,8.671,P00916
P02749,postgresB,0.0,3.3,P00916
P02750,postgresB,0.0,2.607,P00917
P02751,postgresC,0.0,3.044,P00917
P02752,postgresB,0.0,2.152,P00917
P02753,postgresB,0.0,9.948,P00918
P02754,postgresC,0.0,2.548,P00918
P02755,postgresB,0.0,1.311,P00918
P02756,postgresA,0.0,4.528,P00919
P02757,postgresA,0.0,1.71,P00919
P02758,postgresC,0.0,0.783,P00919
P02759,postgresA,0.0,8.069,P00920
P02760,postgresA,0.0,0.863,P00920
P02761,postgresA,0.0,3.459,P00920
P02762,postgresA,0.0,6.881,P00921
P02763,postgresA,0.0,0.037,P00921
P02764,postgresC,0.0,1.157,P00921
P02765,postgresB,0.0,8.037,P00922
P02766,postgresB,0.0,7.555,P00922
P02767,postgresA,0.0,3.653,P00922
P02768,postgresA,0.0,9.14,P00923
P02769,postgresC,0.0,6.1,P00923
P02770,postgresA,0.0,2.14,P00923
P02771,postgresA,0.0,8.397,P00924
P02772,postgresB,0.0,7.669,P00924
P02773,postgresC,0.0,3.436,P00924
P02774,postgresC,0.0,9.913,P00925
P02775,postgresA,0.0,3.945,P00925
P02776,postgresB,0.0,2.179,P00925
P02777,postgresA,0.0,0.03,P00926
P02778,postgresC,0.0,0.719,P00926
P02779,postgresB,0.0,6.253,P00926
P02780,postgresC,0.0,6.769,P00927
P02781,postgresC,0.0,8.934,P00927
P02782,postgresB,0.0,1.231,P00927
P02783,postgresA,0.0,0.179,P00928
P02784,postgresA,0.0,6.261,P00928
P02785,postgresC,0.0,3.731,P00928
